,name,fisher,jacob_cov,aug,batch
0,venomous_caterpillar,0.006740067154169083,-927.2883861371095,0,0
1,naughty_ladybug,0.00254436326213181,-906.9780479374419,0,0
2,optimal_ermine,0.0004651315393857658,-911.8526760143859,0,0
3,astute_urchin,0.0007798667065799236,-939.9549054596041,0,0
4,olivine_crow,0.15635068714618683,-1000.4734396869572,0,0
5,exotic_labrador,0.903895378112793,-927.5847169898552,0,0
6,strong_bettong,0.5134472250938416,-929.4850985007346,0,0
7,clay_dragon,0.0020640830043703318,-991.4264381266414,0,0
8,shrewd_kagu,0.10003645718097687,-992.487748957316,0,0
9,greedy_seal,0.006109058856964111,-960.7308244246465,0,0
10,literate_okapi,0.0075230905786156654,-901.1372955289836,0,0
11,tiny_bumblebee,0.0003133375139441341,-921.5742985818164,0,0
12,economic_squirrel,0.003441115841269493,-930.9348508223275,0,0
13,flying_uakari,0.04580875113606453,-918.4682769895308,0,0
14,outrageous_puma,0.4046745300292969,-942.1830295198729,0,0
15,glistening_angelfish,0.00011043819540645927,-902.652085085966,0,0
16,smoky_ocelot,0.01828324794769287,-903.1651564543931,0,0
17,pretty_marten,0.7051864862442017,-917.5127874765418,0,0
18,optimal_marmoset,0.16783925890922546,-912.2518124199922,0,0
19,esoteric_elk,0.023662274703383446,-913.8435848861168,0,0
0,venomous_caterpillar,0.0032631398644298315,-902.4186046147829,1,0
1,naughty_ladybug,0.001691223937086761,-868.7288759754344,1,0
2,optimal_ermine,0.0003588497929740697,-875.7652555026185,1,0
3,astute_urchin,0.0004389109672047198,-880.1342925271679,1,0
4,olivine_crow,0.07685604691505432,-983.1205250895564,1,0
5,exotic_labrador,0.3699336349964142,-917.4353648736367,1,0
6,strong_bettong,0.24538767337799072,-923.0537804115249,1,0
7,clay_dragon,0.0010070344433188438,-910.9694933530792,1,0
8,shrewd_kagu,0.041651368141174316,-924.9865095368261,1,0
9,greedy_seal,0.0030393560882657766,-910.2947695589492,1,0
10,literate_okapi,0.004675944335758686,-874.7675688686924,1,0
11,tiny_bumblebee,0.00022627499129157513,-872.3608369835434,1,0
12,economic_squirrel,0.001908212318085134,-891.9577236239766,1,0
13,flying_uakari,0.01605277694761753,-910.2205704495192,1,0
14,outrageous_puma,0.2221769541501999,-900.1581467656237,1,0
15,glistening_angelfish,0.00010153403854928911,-890.0622586674028,1,0
16,smoky_ocelot,0.008442951366305351,-875.1557984998594,1,0
17,pretty_marten,0.37693244218826294,-892.7364190557398,1,0
18,optimal_marmoset,0.07373400777578354,-875.0853043246443,1,0
19,esoteric_elk,0.00933349970728159,-873.913400970122,1,0
0,venomous_caterpillar,0.002993448171764612,-943.1950544568278,2,0
1,naughty_ladybug,0.0013499237829819322,-878.4316403549326,2,0
2,optimal_ermine,0.0003654909669421613,-884.7433005871469,2,0
3,astute_urchin,0.0005132053629495203,-904.8008094099396,2,0
4,olivine_crow,0.05946244299411774,-968.6701320824009,2,0
5,exotic_labrador,0.3493736684322357,-903.609098235672,2,0
6,strong_bettong,0.21858130395412445,-912.2058559334289,2,0
7,clay_dragon,0.0010291029466316104,-906.4210295397463,2,0
8,shrewd_kagu,0.043376170098781586,-906.4545884152773,2,0
9,greedy_seal,0.003051136387512088,-888.1956589611534,2,0
10,literate_okapi,0.003809664398431778,-898.1122720016647,2,0
11,tiny_bumblebee,0.00023948904708959162,-876.0518070294074,2,0
12,economic_squirrel,0.0019419238669797778,-883.0993673340938,2,0
