,name,fisher,jacob_cov,aug,batch
0,invisible_chamois,0.014461755752563477,-672.076319191884,0,0
1,smart_grasshopper,0.003328147577121854,-670.2021396566174,0,0
2,jumping_elephant,0.022557243704795837,-671.156668802239,0,0
3,interesting_slug,0.00043790414929389954,-668.6556697228966,0,0
4,private_newt,0.007095573469996452,-671.1686487317033,0,0
5,quantum_mussel,0.0005617858842015266,-670.2922662152187,0,0
6,blazing_lobster,0.00048402987886220217,-671.8075055665395,0,0
7,misty_anteater,0.004564271308481693,-670.668011817275,0,0
8,tangible_labrador,0.00017495930660516024,-668.9231169463601,0,0
9,rare_sunfish,0.032725971192121506,-671.5104237240106,0,0
10,tough_chamois,0.006081031169742346,-670.9305818041007,0,0
11,acoustic_ladybug,0.0024712462909519672,-670.3677520464469,0,0
12,psychedelic_mink,0.0007022293866612017,-669.2534504065745,0,0
13,coral_giraffe,0.033368777483701706,-670.6891316259754,0,0
14,viridian_grouse,0.00041764642810449004,-671.888251509265,0,0
15,remarkable_woodlouse,0.00012068651267327368,-669.2096756434942,0,0
16,cautious_newt,0.0001765080087352544,-670.3076568327247,0,0
17,stoic_marten,0.0031843080651015043,-670.014296505,0,0
18,able_nuthatch,0.0035023812670260668,-671.3551948078075,0,0
19,natural_sawfly,0.0005363225354813039,-667.223797057263,0,0
0,invisible_chamois,0.012433636002242565,-668.2929166090169,1,0
1,smart_grasshopper,0.0037908039521425962,-669.6978022774881,1,0
2,jumping_elephant,0.016703836619853973,-668.516547110792,1,0
3,interesting_slug,0.0007992809405550361,-667.2962851537056,1,0
4,private_newt,0.006962818093597889,-669.6837919260448,1,0
5,quantum_mussel,0.00027387135196477175,-667.8963440965412,1,0
6,blazing_lobster,0.00046781907440163195,-668.133872625901,1,0
7,misty_anteater,0.0019901024643331766,-668.5477782265185,1,0
8,tangible_labrador,0.00019884473294951022,-668.4506220756286,1,0
9,rare_sunfish,0.02047845348715782,-668.8114980084811,1,0
10,tough_chamois,0.00470782769843936,-667.9936554453136,1,0
11,acoustic_ladybug,0.0018706698901951313,-668.6735880830836,1,0
12,psychedelic_mink,0.00046598882181569934,-669.641218387877,1,0
13,coral_giraffe,0.029980512335896492,-669.8281172556701,1,0
14,viridian_grouse,0.0005346769466996193,-667.9054246472435,1,0
15,remarkable_woodlouse,7.946803816594183e-05,-668.9534479274047,1,0
16,cautious_newt,0.00010142021346837282,-668.810273712053,1,0
17,stoic_marten,0.005195651203393936,-668.5883796869023,1,0
18,able_nuthatch,0.002430171240121126,-669.5826520070502,1,0
19,natural_sawfly,0.00041632691863924265,-666.8567980505927,1,0
0,invisible_chamois,0.009057633578777313,-668.3950444016707,2,0
1,smart_grasshopper,0.001903774100355804,-670.7949332068862,2,0
