,name,fisher,jacob_cov,aug,batch
0,energetic_chimpanzee,0.018204038962721825,-55993717.52080314,0,0
1,heavy_heron,0.20360085368156433,-55993718.47610882,0,0
2,adventurous_turaco,0.009811857715249062,-55993716.482886,0,0
3,golden_warthog,0.04112304374575615,-55993716.850078255,0,0
4,witty_potoo,0.01479523815214634,-55993720.374879494,0,0
5,inventive_bloodhound,0.06363479048013687,-55993718.959025815,0,0
6,curvy_dachshund,0.21747422218322754,-55993718.86313327,0,0
7,tiny_hyena,0.1907040774822235,-55993718.021996684,0,0
8,screeching_goshawk,0.12204546481370926,-55993718.52123393,0,0
9,pretty_whale,0.0023858328349888325,-55993717.38078721,0,0
10,real_hummingbird,0.049213241785764694,-55993718.85693237,0,0
11,jovial_auk,0.06481140851974487,-55993718.69224609,0,0
12,mature_mouflon,0.41507697105407715,-55993718.338508606,0,0
13,smoky_taipan,0.04999746009707451,-55993718.93631738,0,0
14,lime_snail,0.008585202507674694,-55993718.62593268,0,0
15,juicy_parrot,0.001422370201908052,-55993716.51533425,0,0
16,mellow_porpoise,2.434417724609375,-55993717.448786855,0,0
17,heretic_albatross,0.687218427658081,-55993716.756393075,0,0
18,ambrosial_caracara,0.4743073284626007,-55993716.7367786,0,0
19,tunneling_caterpillar,0.00581022072583437,-55993718.861495554,0,0
0,energetic_chimpanzee,0.013487480580806732,-55993720.12467182,1,0
1,heavy_heron,0.20763681828975677,-55993717.777691334,1,0
2,adventurous_turaco,0.007629855535924435,-55993719.78872569,1,0
3,golden_warthog,0.036924272775650024,-55993720.33626945,1,0
4,witty_potoo,0.010891487821936607,-55993717.595224485,1,0
5,inventive_bloodhound,0.06455658376216888,-55993718.97742939,1,0
6,curvy_dachshund,0.10986210405826569,-55993719.25179925,1,0
7,tiny_hyena,0.12301287055015564,-55993716.12733465,1,0
8,screeching_goshawk,0.09209640324115753,-55993719.20351696,1,0
9,pretty_whale,0.002144784200936556,-55993719.44316639,1,0
10,real_hummingbird,0.03691693767905235,-55993719.829297826,1,0
11,jovial_auk,0.05435000732541084,-55993716.344922185,1,0
12,mature_mouflon,0.36459192633628845,-55993718.21394423,1,0
13,smoky_taipan,0.03972949460148811,-55993718.650400974,1,0
14,lime_snail,0.005250264890491962,-55993715.986603454,1,0
15,juicy_parrot,0.001150642754510045,-55993718.76152414,1,0
16,mellow_porpoise,3.5702099800109863,-55993715.47135374,1,0
17,heretic_albatross,0.9691194295883179,-55993718.34915537,1,0
18,ambrosial_caracara,0.4787439703941345,-55993716.83992031,1,0
19,tunneling_caterpillar,0.004078523721545935,-55993718.09527151,1,0
0,energetic_chimpanzee,0.01792382076382637,-55993715.93174131,2,0
1,heavy_heron,0.19270752370357513,-55993718.59311795,2,0
2,adventurous_turaco,0.009152463637292385,-55993716.39991385,2,0
3,golden_warthog,0.03207959234714508,-55993719.32814957,2,0
4,witty_potoo,0.010874072089791298,-55993716.8720251,2,0
5,inventive_bloodhound,0.08713804185390472,-55993717.53410282,2,0
6,curvy_dachshund,0.12419874966144562,-55993718.70449137,2,0
7,tiny_hyena,0.17770421504974365,-55993718.9156753,2,0
8,screeching_goshawk,0.08761323243379593,-55993717.38507706,2,0
9,pretty_whale,0.002415528753772378,-55993716.920451775,2,0
10,real_hummingbird,0.0394185408949852,-55993719.38653226,2,0
11,jovial_auk,0.054708436131477356,-55993717.32772599,2,0
12,mature_mouflon,0.4565175771713257,-55993720.78075694,2,0
13,smoky_taipan,0.05413506180047989,-55993720.56274131,2,0
14,lime_snail,0.006361667066812515,-55993717.257731006,2,0
15,juicy_parrot,0.001199055346660316,-55993717.10806294,2,0
16,mellow_porpoise,2.5593271255493164,-55993716.08103718,2,0
17,heretic_albatross,0.6695306301116943,-55993718.31918031,2,0
18,ambrosial_caracara,0.4572661519050598,-55993716.018184334,2,0
19,tunneling_caterpillar,0.004484709817916155,-55993716.65912166,2,0
0,energetic_chimpanzee,0.017967764288187027,-55993718.56515196,3,0
1,heavy_heron,0.2529647648334503,-55993718.49223203,3,0
2,adventurous_turaco,0.00910076405853033,-55993718.75179441,3,0
3,golden_warthog,0.03001498244702816,-55993718.80884695,3,0
4,witty_potoo,0.013697956688702106,-55993719.63311357,3,0
5,inventive_bloodhound,0.0909992903470993,-55993717.44860632,3,0
6,curvy_dachshund,0.18435516953468323,-55993718.136406675,3,0
7,tiny_hyena,0.23693229258060455,-55993718.481339484,3,0
8,screeching_goshawk,0.113062784075737,-55993719.111998826,3,0
9,pretty_whale,0.0022155509795993567,-55993718.98093587,3,0
10,real_hummingbird,0.04861581698060036,-55993718.83022733,3,0
11,jovial_auk,0.06094387546181679,-55993718.36178699,3,0
12,mature_mouflon,0.5578581690788269,-55993717.34777458,3,0
13,smoky_taipan,0.051614899188280106,-55993715.27875404,3,0
14,lime_snail,0.007671391125768423,-55993718.55206483,3,0
15,juicy_parrot,0.0013075590832158923,-55993717.089518845,3,0
16,mellow_porpoise,2.8710384368896484,-55993718.658547066,3,0
17,heretic_albatross,0.5660183429718018,-55993716.235285535,3,0
18,ambrosial_caracara,0.4799577295780182,-55993717.20142567,3,0
19,tunneling_caterpillar,0.0055482820607721806,-55993718.25052321,3,0
0,energetic_chimpanzee,0.013745231553912163,-55993716.265625834,4,0
1,heavy_heron,0.15996292233467102,-55993718.76468697,4,0
2,adventurous_turaco,0.007598226889967918,-55993718.384352274,4,0
3,golden_warthog,0.020177338272333145,-55993717.71360189,4,0
4,witty_potoo,0.009511221200227737,-55993718.415075555,4,0
5,inventive_bloodhound,0.07133423537015915,-55993718.552553415,4,0
6,curvy_dachshund,0.115688756108284,-55993718.79475118,4,0
7,tiny_hyena,0.13430380821228027,-55993716.28923506,4,0
8,screeching_goshawk,0.09381555765867233,-55993717.889267385,4,0
9,pretty_whale,0.0017079835524782538,-55993717.48598083,4,0
10,real_hummingbird,0.029897328466176987,-55993717.91306099,4,0
11,jovial_auk,0.08039376139640808,-55993716.01438476,4,0
12,mature_mouflon,0.3670729696750641,-55993718.30584116,4,0
13,smoky_taipan,0.04811457172036171,-55993718.18094331,4,0
14,lime_snail,0.006010847166180611,-55993717.26648368,4,0
15,juicy_parrot,0.0011973321670666337,-55993718.947504595,4,0
16,mellow_porpoise,4.187380313873291,-55993716.22808401,4,0
17,heretic_albatross,1.0804697275161743,-55993716.135525905,4,0
18,ambrosial_caracara,0.46528711915016174,-55993716.061378464,4,0
19,tunneling_caterpillar,0.004821846727281809,-55993715.849948525,4,0
0,energetic_chimpanzee,0.01225116103887558,-55993716.83056961,5,0
1,heavy_heron,0.161281555891037,-55993719.05765765,5,0
2,adventurous_turaco,0.006907292641699314,-55993717.145990714,5,0
3,golden_warthog,0.025754211470484734,-55993718.51239027,5,0
4,witty_potoo,0.008985862135887146,-55993718.00985451,5,0
5,inventive_bloodhound,0.08930963277816772,-55993718.64577572,5,0
6,curvy_dachshund,0.0817374736070633,-55993716.81571787,5,0
7,tiny_hyena,0.13590797781944275,-55993716.23992546,5,0
8,screeching_goshawk,0.08624280989170074,-55993718.45239839,5,0
9,pretty_whale,0.0018449354683980346,-55993717.020907,5,0
10,real_hummingbird,0.028626881539821625,-55993718.02963106,5,0
11,jovial_auk,0.06752575188875198,-55993717.366153955,5,0
12,mature_mouflon,0.32441821694374084,-55993717.449469246,5,0
13,smoky_taipan,0.03276021033525467,-55993716.21654019,5,0
14,lime_snail,0.004707279149442911,-55993718.98908682,5,0
15,juicy_parrot,0.0009271661983802915,-55993717.300420694,5,0
16,mellow_porpoise,8.50381088256836,-55993715.579975694,5,0
17,heretic_albatross,1.0149319171905518,-55993716.21568807,5,0
18,ambrosial_caracara,0.5904086828231812,-55993716.291083306,5,0
19,tunneling_caterpillar,0.004176679067313671,-55993717.18891193,5,0
0,energetic_chimpanzee,0.01742635667324066,-55993720.351846844,6,0
1,heavy_heron,0.21467028558254242,-55993718.28038551,6,0
2,adventurous_turaco,0.007164673879742622,-55993716.31618486,6,0
3,golden_warthog,0.035046957433223724,-55993718.97368899,6,0
4,witty_potoo,0.01238150056451559,-55993717.726231396,6,0
5,inventive_bloodhound,0.08437319844961166,-55993716.23682333,6,0
6,curvy_dachshund,0.15011481940746307,-55993718.54788343,6,0
7,tiny_hyena,0.16342881321907043,-55993717.57516316,6,0
8,screeching_goshawk,0.11363083869218826,-55993719.24323355,6,0
9,pretty_whale,0.0022138901986181736,-55993716.81636264,6,0
10,real_hummingbird,0.04352588951587677,-55993719.03882315,6,0
11,jovial_auk,0.05905647575855255,-55993717.43377385,6,0
12,mature_mouflon,0.5106736421585083,-55993719.00863589,6,0
13,smoky_taipan,0.03828481584787369,-55993718.96725762,6,0
14,lime_snail,0.007774390280246735,-55993718.651701696,6,0
15,juicy_parrot,0.0014810423599556088,-55993721.13685499,6,0
16,mellow_porpoise,2.704942464828491,-55993717.739578955,6,0
17,heretic_albatross,0.48914799094200134,-55993718.27581675,6,0
18,ambrosial_caracara,0.5172303318977356,-55993717.10714912,6,0
19,tunneling_caterpillar,0.005578096490353346,-55993720.00206007,6,0
0,energetic_chimpanzee,0.018861735239624977,-55993717.205554545,7,0
1,heavy_heron,0.27312350273132324,-55993718.85428168,7,0
2,adventurous_turaco,0.010701506398618221,-55993716.49530019,7,0
3,golden_warthog,0.039881207048892975,-55993717.40106619,7,0
4,witty_potoo,0.013472724705934525,-55993719.05957788,7,0
5,inventive_bloodhound,0.09318981319665909,-55993716.69348854,7,0
6,curvy_dachshund,0.2088858187198639,-55993717.834819034,7,0
7,tiny_hyena,0.2158346027135849,-55993719.03706041,7,0
8,screeching_goshawk,0.11557912081480026,-55993718.38017367,7,0
9,pretty_whale,0.002277644816786051,-55993715.536173776,7,0
10,real_hummingbird,0.053368065506219864,-55993718.16583043,7,0
11,jovial_auk,0.0705987736582756,-55993716.66905913,7,0
12,mature_mouflon,0.5974303483963013,-55993720.549377374,7,0
13,smoky_taipan,0.05569912865757942,-55993717.50228771,7,0
14,lime_snail,0.008627143688499928,-55993717.171697006,7,0
15,juicy_parrot,0.0014805662212893367,-55993718.957925625,7,0
16,mellow_porpoise,2.443089246749878,-55993717.6602225,7,0
17,heretic_albatross,0.5760506987571716,-55993716.92546831,7,0
18,ambrosial_caracara,0.4636678993701935,-55993716.68591207,7,0
19,tunneling_caterpillar,0.006257565692067146,-55993719.31430237,7,0
0,energetic_chimpanzee,0.019564105197787285,-55993718.968434826,8,0
1,heavy_heron,0.27342090010643005,-55993718.20792752,8,0
2,adventurous_turaco,0.009545857086777687,-55993718.44977869,8,0
3,golden_warthog,0.039167117327451706,-55993717.6483819,8,0
