,name,fisher,jacob_cov,aug,batch
0,quizzical_wapiti,0.2261689007282257,-15500382.51677166,0,0
1,fabulous_ostrich,0.33192700147628784,-15500470.816551307,0,0
2,hungry_bustard,0.02051505818963051,-15500695.054587532,0,0
3,glorious_ladybug,0.0020415731705725193,-15500826.513721883,0,0
4,demonic_finch,0.0004841910267714411,-15500399.971592283,0,0
5,lilac_oarfish,0.005225640255957842,-15500289.0716397,0,0
6,warm_marmot,0.00013026778469793499,-15500790.788755145,0,0
7,small_caterpillar,0.7936091423034668,-15500924.78872969,0,0
8,dramatic_squid,0.08224060386419296,-15500616.435616836,0,0
9,ivory_dalmatian,0.0009846597677096725,-15500130.769365273,0,0
10,enigmatic_bittern,0.2499205470085144,-15500644.464818768,0,0
11,versatile_ibex,0.011509430594742298,-15500496.64275242,0,0
12,delightful_wasp,0.01153284590691328,-15500615.953216309,0,0
13,silky_cat,0.009455508552491665,-15500798.240262946,0,0
14,nice_bison,0.0007498959312215447,-15500371.808125919,0,0
15,banana_locust,0.008503785356879234,-15500381.419878231,0,0
16,cinnamon_pheasant,0.299887090921402,-15500559.641040523,0,0
17,glistening_gorilla,0.36337780952453613,-15500460.29744038,0,0
18,gay_pudu,0.007737285457551479,-15500556.914856916,0,0
19,banana_oyster,0.08713559061288834,-15500698.379017659,0,0
0,quizzical_wapiti,0.170393705368042,-15500861.92932767,1,0
1,fabulous_ostrich,0.24165399372577667,-15501181.191561248,1,0
2,hungry_bustard,0.01577734388411045,-15500900.362742044,1,0
3,glorious_ladybug,0.001331610488705337,-15500525.439374693,1,0
4,demonic_finch,0.0003748479066416621,-15501076.597398639,1,0
5,lilac_oarfish,0.004450097214430571,-15501268.052781543,1,0
6,warm_marmot,0.00013095968461129814,-15501134.246548638,1,0
7,small_caterpillar,0.47469401359558105,-15500934.19725167,1,0
8,dramatic_squid,0.05656060948967934,-15500846.210904898,1,0
9,ivory_dalmatian,0.0008306800737045705,-15500609.440250179,1,0
10,enigmatic_bittern,0.179745152592659,-15500934.470976824,1,0
11,versatile_ibex,0.008327070623636246,-15500518.158821803,1,0
12,delightful_wasp,0.008875361643731594,-15500653.23155003,1,0
13,silky_cat,0.0058946856297552586,-15500944.958440838,1,0
14,nice_bison,0.0005492165219038725,-15500789.091389906,1,0
15,banana_locust,0.00716805225238204,-15500634.737563036,1,0
16,cinnamon_pheasant,0.2388816624879837,-15500526.304230519,1,0
17,glistening_gorilla,0.2804070711135864,-15501311.41519346,1,0
18,gay_pudu,0.005830052308738232,-15501459.359820383,1,0
19,banana_oyster,0.032516129314899445,-15501289.375281258,1,0
0,quizzical_wapiti,0.19506141543388367,-15500722.420593927,2,0
1,fabulous_ostrich,0.6063703894615173,-15501219.186286125,2,0
2,hungry_bustard,0.014020930975675583,-15501232.047092894,2,0
3,glorious_ladybug,0.0009614629670977592,-15501189.009602971,2,0
4,demonic_finch,0.00025558852939866483,-15501797.30518513,2,0
5,lilac_oarfish,0.003921438008546829,-15501366.07282364,2,0
6,warm_marmot,8.185805199900642e-05,-15501305.027121548,2,0
7,small_caterpillar,0.9895929098129272,-15500788.912418392,2,0
8,dramatic_squid,0.04518318548798561,-15500887.160418848,2,0
9,ivory_dalmatian,0.0009488178184255958,-15501219.598028095,2,0
10,enigmatic_bittern,0.48105862736701965,-15500799.395055294,2,0
11,versatile_ibex,0.005753176286816597,-15501038.671257393,2,0
12,delightful_wasp,0.008949424140155315,-15501217.239750085,2,0
13,silky_cat,0.004709308966994286,-15500879.540428368,2,0
14,nice_bison,0.0004071193980053067,-15500617.953239478,2,0
15,banana_locust,0.004910249263048172,-15500856.188769903,2,0
16,cinnamon_pheasant,0.25133705139160156,-15500782.12730747,2,0
17,glistening_gorilla,0.30905184149742126,-15501900.363157857,2,0
18,gay_pudu,0.003457740182057023,-15501266.598799989,2,0
19,banana_oyster,0.02276959829032421,-15501896.60575312,2,0
0,quizzical_wapiti,0.20620180666446686,-15501159.614558779,3,0
1,fabulous_ostrich,0.4797999858856201,-15501209.707083896,3,0
2,hungry_bustard,0.01711791753768921,-15500747.377216795,3,0
3,glorious_ladybug,0.0016712254146113992,-15501101.510670416,3,0
4,demonic_finch,0.0004118678334634751,-15501303.710940585,3,0
5,lilac_oarfish,0.005303552374243736,-15501956.361535264,3,0
6,warm_marmot,0.0001195188524434343,-15501353.353626614,3,0
7,small_caterpillar,0.6997373104095459,-15501305.495691825,3,0
8,dramatic_squid,0.0792897641658783,-15500827.797842162,3,0
9,ivory_dalmatian,0.0008053092169575393,-15500616.881510472,3,0
10,enigmatic_bittern,0.22413648664951324,-15501116.386379955,3,0
11,versatile_ibex,0.0110918078571558,-15501525.016850624,3,0
12,delightful_wasp,0.010554540902376175,-15500973.188541109,3,0
13,silky_cat,0.008651509881019592,-15501179.605249587,3,0
14,nice_bison,0.0006088724476285279,-15500576.871253552,3,0
15,banana_locust,0.007200027350336313,-15500627.030387238,3,0
16,cinnamon_pheasant,0.293067991733551,-15501093.905502092,3,0
17,glistening_gorilla,0.48085975646972656,-15501406.159694655,3,0
18,gay_pudu,0.005847062915563583,-15501158.201910587,3,0
19,banana_oyster,0.053963471204042435,-15501535.669651115,3,0
0,quizzical_wapiti,0.18866388499736786,-15500622.000540167,4,0
1,fabulous_ostrich,0.10010025650262833,-15501290.53755701,4,0
2,hungry_bustard,0.008456212468445301,-15500615.01302324,4,0
3,glorious_ladybug,0.0012079421430826187,-15501243.929056203,4,0
4,demonic_finch,0.00040515727596357465,-15501137.031346783,4,0
5,lilac_oarfish,0.0029508660081773996,-15501539.432015521,4,0
6,warm_marmot,0.00011171767982887104,-15501147.614904063,4,0
7,small_caterpillar,0.559840202331543,-15501472.113279156,4,0
8,dramatic_squid,0.032043419778347015,-15500914.409491146,4,0
9,ivory_dalmatian,0.000339176447596401,-15500959.30575503,4,0
10,enigmatic_bittern,0.35371142625808716,-15500941.999594815,4,0
11,versatile_ibex,0.0026156893000006676,-15500593.112451507,4,0
12,delightful_wasp,0.007771502714604139,-15500737.81804917,4,0
13,silky_cat,0.00443280627951026,-15500869.530567784,4,0
14,nice_bison,0.0006490751402452588,-15500678.094524499,4,0
15,banana_locust,0.0011126010213047266,-15500438.905346451,4,0
16,cinnamon_pheasant,0.5434630513191223,-15500653.058428824,4,0
17,glistening_gorilla,0.6303128600120544,-15501390.116924537,4,0
18,gay_pudu,0.0008846682030707598,-15501108.431695037,4,0
19,banana_oyster,0.07958289235830307,-15502221.391766367,4,0
0,quizzical_wapiti,0.2143159806728363,-15500844.10174661,5,0
1,fabulous_ostrich,1.5041013956069946,-15500949.01848415,5,0
2,hungry_bustard,0.035414762794971466,-15500973.023328384,5,0
3,glorious_ladybug,0.00193336745724082,-15500905.221664527,5,0
4,demonic_finch,0.0006158776814118028,-15501462.467262344,5,0
5,lilac_oarfish,0.008845817297697067,-15501322.771160088,5,0
6,warm_marmot,0.0001552203466417268,-15500986.780424217,5,0
7,small_caterpillar,2.1920595169067383,-15501650.949984683,5,0
8,dramatic_squid,0.09494605660438538,-15500989.941775797,5,0
9,ivory_dalmatian,0.0011076811933889985,-15500900.180606915,5,0
10,enigmatic_bittern,1.2943581342697144,-15501134.233807947,5,0
11,versatile_ibex,0.036719340831041336,-15501189.299507985,5,0
12,delightful_wasp,0.025647595524787903,-15500724.860694507,5,0
13,silky_cat,0.007923346012830734,-15501067.34958858,5,0
14,nice_bison,0.0006194604793563485,-15500787.62499227,5,0
15,banana_locust,0.011689509265124798,-15500814.363167187,5,0
16,cinnamon_pheasant,0.7389621734619141,-15500733.68820248,5,0
17,glistening_gorilla,1.181764841079712,-15500770.971702658,5,0
18,gay_pudu,0.009690572507679462,-15500742.387708055,5,0
19,banana_oyster,0.18479005992412567,-15502775.497599598,5,0
0,quizzical_wapiti,0.07376208901405334,-15500213.899645505,6,0
1,fabulous_ostrich,0.09061206132173538,-15500311.39617101,6,0
2,hungry_bustard,0.012155034579336643,-15500455.439222729,6,0
3,glorious_ladybug,0.0013604727573692799,-15500383.27680628,6,0
4,demonic_finch,0.00033848697785288095,-15500252.31427079,6,0
5,lilac_oarfish,0.0026915327180176973,-15500296.871104574,6,0
6,warm_marmot,0.0001226390595547855,-15500314.007606229,6,0
7,small_caterpillar,0.2111881673336029,-15500373.756015483,6,0
8,dramatic_squid,0.013945137150585651,-15500402.828819318,6,0
9,ivory_dalmatian,0.0008243895135819912,-15500242.20926385,6,0
10,enigmatic_bittern,0.1912284791469574,-15500183.439329967,6,0
11,versatile_ibex,0.007089913822710514,-15500228.229842445,6,0
12,delightful_wasp,0.008212256245315075,-15500441.394375881,6,0
13,silky_cat,0.005523907486349344,-15500357.760790652,6,0
14,nice_bison,0.0005288892425596714,-15500207.27191511,6,0
15,banana_locust,0.004895699676126242,-15500583.37210044,6,0
16,cinnamon_pheasant,0.1871035099029541,-15500309.649296304,6,0
17,glistening_gorilla,0.14444361627101898,-15500365.402941803,6,0
18,gay_pudu,0.004768049344420433,-15500397.575169109,6,0
19,banana_oyster,0.02680029533803463,-15500841.139668377,6,0
0,quizzical_wapiti,0.2288835346698761,-15500594.537162418,7,0
1,fabulous_ostrich,0.4829537868499756,-15500474.249486964,7,0
2,hungry_bustard,0.02040392905473709,-15500653.64513582,7,0
3,glorious_ladybug,0.0019243386341258883,-15500300.150545483,7,0
4,demonic_finch,0.0005063491989858449,-15500710.328025,7,0
5,lilac_oarfish,0.0044723269529640675,-15500655.819609033,7,0
6,warm_marmot,0.0001240098208654672,-15500862.04966956,7,0
7,small_caterpillar,0.681267261505127,-15500676.11563349,7,0
8,dramatic_squid,0.06844338029623032,-15500901.889963565,7,0
9,ivory_dalmatian,0.000869390438310802,-15500539.525208991,7,0
10,enigmatic_bittern,0.287369042634964,-15500920.092172181,7,0
