,name,fisher,jacob_cov,aug,batch
0,sexy_marten,0.029406195506453514,-807.4246394248852,0,0
1,resourceful_wasp,18.09541130065918,-812.3033889806112,0,0
2,optimal_hyena,0.001801933627575636,-793.3719761818054,0,0
3,golden_ocelot,0.004160132724791765,-805.5072757720854,0,0
4,refreshing_elk,0.06263640522956848,-807.6370895657155,0,0
5,meticulous_hawk,0.12962816655635834,-809.0014067382932,0,0
6,devout_starling,0.052753061056137085,-813.4213999870595,0,0
7,alluring_porpoise,0.006817043758928776,-813.2452345824879,0,0
8,amiable_falcon,0.0003619642520789057,-808.5118100202528,0,0
9,dandelion_falcon,0.41876503825187683,-807.2939565265601,0,0
10,malachite_tanuki,0.002231819787994027,-808.3830533121289,0,0
11,wooden_oyster,0.08622444421052933,-810.0740281667072,0,0
12,unique_trogon,0.005216208286583424,-806.2470304242731,0,0
13,lean_walrus,0.0014565956080332398,-824.395110257981,0,0
14,aloof_herring,0.005195885896682739,-820.3617711577941,0,0
15,emerald_tench,0.004939612932503223,-812.2762690183904,0,0
16,inquisitive_lemming,0.7538119554519653,-826.3636463565831,0,0
17,armored_guppy,0.0030510753858834505,-809.7537606113916,0,0
18,subtle_silkworm,0.006085027940571308,-809.5214257034711,0,0
19,discreet_goose,0.0013633042108267546,-809.0091511617818,0,0
0,sexy_marten,0.026199273765087128,-813.5807880638515,1,0
1,resourceful_wasp,23.48398780822754,-818.5730872173503,1,0
2,optimal_hyena,0.002662144135683775,-794.1150067840765,1,0
3,golden_ocelot,0.005388227291405201,-799.3226567992235,1,0
4,refreshing_elk,0.04150720313191414,-800.7464403336728,1,0
5,meticulous_hawk,0.10109711438417435,-798.316144812658,1,0
6,devout_starling,0.05269460007548332,-808.8999409931844,1,0
7,alluring_porpoise,0.00764924893155694,-816.9777595133302,1,0
8,amiable_falcon,0.0005078557878732681,-810.0701120833915,1,0
9,dandelion_falcon,0.29428550601005554,-808.298916991634,1,0
10,malachite_tanuki,0.001914751948788762,-810.3435897270037,1,0
11,wooden_oyster,0.11930793523788452,-811.1244527861543,1,0
12,unique_trogon,0.004474753513932228,-806.617171182609,1,0
13,lean_walrus,0.0022432811092585325,-815.8807135710069,1,0
14,aloof_herring,0.006501669995486736,-808.1821879878876,1,0
15,emerald_tench,0.0036728396080434322,-800.3940791026466,1,0
16,inquisitive_lemming,0.8114728927612305,-808.9050657112693,1,0
17,armored_guppy,0.003564134007319808,-809.5356800564191,1,0
18,subtle_silkworm,0.006879886612296104,-807.5075137008585,1,0
19,discreet_goose,0.0012118167942389846,-805.6236041881796,1,0
0,sexy_marten,0.028135867789387703,-815.7513865877338,2,0
1,resourceful_wasp,16.499462127685547,-810.6057648865922,2,0
2,optimal_hyena,0.00184356770478189,-799.9361245211654,2,0
3,golden_ocelot,0.003775855991989374,-808.869116552801,2,0
4,refreshing_elk,0.05204079672694206,-804.9370444226352,2,0
5,meticulous_hawk,0.0851227343082428,-803.6971874997745,2,0
6,devout_starling,0.03296612948179245,-807.7596892757442,2,0
7,alluring_porpoise,0.0038066995330154896,-806.853176850683,2,0
8,amiable_falcon,0.0004049237759318203,-809.9538983463401,2,0
9,dandelion_falcon,0.3079627752304077,-802.2142793268638,2,0
10,malachite_tanuki,0.0017918198136612773,-802.1607123819499,2,0
11,wooden_oyster,0.0845455601811409,-813.3919154541303,2,0
12,unique_trogon,0.003991840407252312,-802.9040897125371,2,0
13,lean_walrus,0.0015791957266628742,-804.7552492593873,2,0
14,aloof_herring,0.005672702100127935,-807.2046127451653,2,0
15,emerald_tench,0.006896865088492632,-802.0578165015893,2,0
16,inquisitive_lemming,0.6737058758735657,-818.8867899777904,2,0
17,armored_guppy,0.002561156405135989,-814.0343614221686,2,0
18,subtle_silkworm,0.005146437790244818,-807.2729680099592,2,0
19,discreet_goose,0.0012805942678824067,-802.3162259116781,2,0
0,sexy_marten,0.02237674407660961,-807.3478811129803,3,0
1,resourceful_wasp,39.51704788208008,-800.4644695561667,3,0
2,optimal_hyena,0.0021135357674211264,-793.7984236624092,3,0
3,golden_ocelot,0.004960766062140465,-820.3979761877879,3,0
4,refreshing_elk,0.04155312478542328,-802.1633105187535,3,0
5,meticulous_hawk,0.09158296883106232,-805.3662922256176,3,0
6,devout_starling,0.03834667429327965,-802.9541573610659,3,0
7,alluring_porpoise,0.005265973042696714,-803.590070085334,3,0
8,amiable_falcon,0.0003534554853104055,-813.2035121423153,3,0
9,dandelion_falcon,0.547879695892334,-817.5280556473729,3,0
10,malachite_tanuki,0.0015197212342172861,-805.5898050597573,3,0
11,wooden_oyster,0.07472783327102661,-822.3904011916356,3,0
12,unique_trogon,0.004611593671143055,-808.543299030633,3,0
13,lean_walrus,0.0014994533266872168,-801.3253855403514,3,0
14,aloof_herring,0.006536609493196011,-814.4001453456908,3,0
15,emerald_tench,0.00455114571377635,-799.0155928166874,3,0
16,inquisitive_lemming,0.7910720705986023,-812.4666873356746,3,0
17,armored_guppy,0.0031584263779222965,-806.6089979253101,3,0
18,subtle_silkworm,0.004713254049420357,-810.7445252822577,3,0
19,discreet_goose,0.001181974308565259,-794.6219007993375,3,0
0,sexy_marten,0.026088325306773186,-812.8272333074693,4,0
1,resourceful_wasp,22.74064064025879,-811.833112473885,4,0
2,optimal_hyena,0.002323244698345661,-808.8629926759286,4,0
3,golden_ocelot,0.004523077514022589,-804.5549482803153,4,0
4,refreshing_elk,0.04994068294763565,-807.6148417463467,4,0
5,meticulous_hawk,0.08131857961416245,-814.7362575793825,4,0
6,devout_starling,0.032661594450473785,-809.073316985379,4,0
7,alluring_porpoise,0.005611720494925976,-826.696520804979,4,0
8,amiable_falcon,0.00043618620838969946,-812.3366611748697,4,0
9,dandelion_falcon,0.5202246904373169,-815.2610528697631,4,0
10,malachite_tanuki,0.002030743984505534,-817.3292588284432,4,0
11,wooden_oyster,0.10625647008419037,-811.5733900193161,4,0
12,unique_trogon,0.005387140437960625,-809.7239650527392,4,0
13,lean_walrus,0.0017516909865662456,-810.8393095267749,4,0
14,aloof_herring,0.00579315098002553,-807.293844882055,4,0
15,emerald_tench,0.004661356098949909,-810.2549905815408,4,0
16,inquisitive_lemming,0.7075135111808777,-815.1419860190693,4,0
17,armored_guppy,0.003682256443426013,-804.8330778214577,4,0
18,subtle_silkworm,0.005033830180764198,-814.1254642859667,4,0
19,discreet_goose,0.00118400645442307,-809.0938588509382,4,0
0,sexy_marten,0.01984400302171707,-819.769903557878,5,0
1,resourceful_wasp,33.14372634887695,-828.0156588273642,5,0
2,optimal_hyena,0.0020760619081556797,-814.9191249020357,5,0
3,golden_ocelot,0.005148789379745722,-813.3310561763925,5,0
4,refreshing_elk,0.040850281715393066,-816.2408823382174,5,0
5,meticulous_hawk,0.10254889726638794,-806.7305887026307,5,0
6,devout_starling,0.03229648992419243,-821.5503179286796,5,0
7,alluring_porpoise,0.0076678148470819,-831.9061973654048,5,0
8,amiable_falcon,0.0004249761113896966,-831.8828344269319,5,0
9,dandelion_falcon,0.35132843255996704,-814.8046309270782,5,0
10,malachite_tanuki,0.001971264835447073,-818.4001612806409,5,0
11,wooden_oyster,0.0779811218380928,-808.3859425271535,5,0
12,unique_trogon,0.0047807698138058186,-811.2227755268233,5,0
13,lean_walrus,0.0017069599125534296,-825.5263239860218,5,0
14,aloof_herring,0.008643991313874722,-804.3452759054394,5,0
15,emerald_tench,0.005119883920997381,-809.4651970619814,5,0
16,inquisitive_lemming,0.5340245366096497,-822.2280546376277,5,0
17,armored_guppy,0.0031362322624772787,-818.5420534473849,5,0
18,subtle_silkworm,0.004960434511303902,-819.6807992121317,5,0
19,discreet_goose,0.0012984070926904678,-801.0150509038069,5,0
0,sexy_marten,0.018247557803988457,-808.6154222993217,6,0
1,resourceful_wasp,28.9490966796875,-811.8120645434747,6,0
2,optimal_hyena,0.002254219725728035,-801.6383702477897,6,0
3,golden_ocelot,0.004684829618781805,-806.4842717160142,6,0
4,refreshing_elk,0.03201674669981003,-809.126814696502,6,0
5,meticulous_hawk,0.0991765484213829,-801.8461400926471,6,0
6,devout_starling,0.05608734115958214,-806.8344897016696,6,0
7,alluring_porpoise,0.0056656054221093655,-807.5248961445536,6,0
8,amiable_falcon,0.0004958605859428644,-811.7117929183078,6,0
9,dandelion_falcon,0.34257084131240845,-815.7685577831949,6,0
10,malachite_tanuki,0.0017334436997771263,-805.0106205648435,6,0
11,wooden_oyster,0.11897341907024384,-808.8736727981515,6,0
12,unique_trogon,0.005684033967554569,-801.0334340812354,6,0
13,lean_walrus,0.0016320203430950642,-813.2427986676157,6,0
14,aloof_herring,0.0048558213748037815,-805.3275720864021,6,0
15,emerald_tench,0.004410249646753073,-805.4987967689324,6,0
16,inquisitive_lemming,1.167428731918335,-808.2444842948994,6,0
17,armored_guppy,0.003360059577971697,-791.1393244955307,6,0
18,subtle_silkworm,0.004528408870100975,-813.4803063937645,6,0
19,discreet_goose,0.0013166287681087852,-799.5247609131294,6,0
0,sexy_marten,0.03087312914431095,-826.4148942597236,7,0
1,resourceful_wasp,51.64645767211914,-807.2647359542372,7,0
2,optimal_hyena,0.002397407777607441,-798.8103791251481,7,0
3,golden_ocelot,0.004152984824031591,-809.0499851491675,7,0
4,refreshing_elk,0.059476256370544434,-809.3141641155482,7,0
5,meticulous_hawk,0.09324297308921814,-798.1189185128185,7,0
6,devout_starling,0.03375658020377159,-797.7967085145739,7,0
7,alluring_porpoise,0.005620923358947039,-813.1932815939988,7,0
8,amiable_falcon,0.00043056203867308795,-812.6638220816524,7,0
9,dandelion_falcon,0.3059905171394348,-811.4019430257745,7,0
10,malachite_tanuki,0.0023799575865268707,-810.157965651383,7,0
11,wooden_oyster,0.11802798509597778,-817.6970100748497,7,0
12,unique_trogon,0.005049664061516523,-808.5696200992726,7,0
13,lean_walrus,0.0017037170473486185,-803.965010215711,7,0
14,aloof_herring,0.005970620550215244,-817.7520185413468,7,0
15,emerald_tench,0.0060456180945038795,-810.89280182896,7,0
16,inquisitive_lemming,0.4708821177482605,-807.526977232472,7,0
17,armored_guppy,0.0036241149064153433,-801.3987068976251,7,0
18,subtle_silkworm,0.004886818118393421,-817.1259037328982,7,0
19,discreet_goose,0.0012240363284945488,-812.6078320889276,7,0
0,sexy_marten,0.028543656691908836,-813.3020595356234,8,0
1,resourceful_wasp,21.764596939086914,-819.003288218189,8,0
2,optimal_hyena,0.002407012740150094,-798.1937304742911,8,0
3,golden_ocelot,0.0042074029333889484,-804.4210410180696,8,0
4,refreshing_elk,0.04726777970790863,-802.0209789888384,8,0
5,meticulous_hawk,0.1038316935300827,-800.9204885204899,8,0
6,devout_starling,0.03582960367202759,-803.2979984349665,8,0
7,alluring_porpoise,0.005162142217159271,-828.3258900594876,8,0
8,amiable_falcon,0.00046452690730802715,-807.3699429281322,8,0
9,dandelion_falcon,0.3693128228187561,-832.9991176281903,8,0
10,malachite_tanuki,0.001606368343345821,-809.4291145665286,8,0
11,wooden_oyster,0.10279031842947006,-806.9159093367717,8,0
12,unique_trogon,0.006161485332995653,-803.3940155527333,8,0
13,lean_walrus,0.0017510426696389914,-808.9753264932563,8,0
14,aloof_herring,0.006372565403580666,-801.1592715961915,8,0
15,emerald_tench,0.005863412283360958,-812.7467863846127,8,0
16,inquisitive_lemming,0.5965578556060791,-823.8386917821131,8,0
17,armored_guppy,0.0034331821370869875,-804.7947504036026,8,0
18,subtle_silkworm,0.006042612250894308,-810.7065088671632,8,0
19,discreet_goose,0.0013455376029014587,-802.3089580463542,8,0
0,sexy_marten,0.03259912133216858,-843.7033557129263,9,0
1,resourceful_wasp,24.815975189208984,-807.2581052190944,9,0
2,optimal_hyena,0.0022578041534870863,-801.2637937797151,9,0
3,golden_ocelot,0.004934835247695446,-806.5554916577001,9,0
4,refreshing_elk,0.047886356711387634,-802.1322567597215,9,0
5,meticulous_hawk,0.10919248312711716,-804.8839405992067,9,0
6,devout_starling,0.05463920533657074,-801.7023941719285,9,0
7,alluring_porpoise,0.006099906284362078,-810.038506970685,9,0
8,amiable_falcon,0.00034988130209967494,-805.8267052604691,9,0
9,dandelion_falcon,0.4376283586025238,-806.5008770581234,9,0
10,malachite_tanuki,0.0018073472892865539,-803.2504485917224,9,0
11,wooden_oyster,0.0889514684677124,-808.0053636793108,9,0
12,unique_trogon,0.005497762467712164,-810.1508067801992,9,0
13,lean_walrus,0.0016403900226578116,-800.0069145546306,9,0
14,aloof_herring,0.006742591504007578,-802.8971800996754,9,0
15,emerald_tench,0.004906917922198772,-825.2023176069134,9,0
16,inquisitive_lemming,0.9062458276748657,-830.7261923558735,9,0
17,armored_guppy,0.003465652232989669,-807.1487057505032,9,0
18,subtle_silkworm,0.005308952648192644,-808.6877076819228,9,0
19,discreet_goose,0.0011134323431178927,-801.4215627519702,9,0
0,sexy_marten,0.021825283765792847,-827.4252221401284,10,0
1,resourceful_wasp,19.562358856201172,-816.9960496413831,10,0
2,optimal_hyena,0.0024577933363616467,-804.468708189096,10,0
3,golden_ocelot,0.004832927603274584,-806.5452490589645,10,0
4,refreshing_elk,0.05772099271416664,-819.697659034429,10,0
