,name,fisher,jacob_cov,aug,batch
0,archetypal_barnacle,0.06644700467586517,-6507659.655462459,0,0
1,archetypal_dalmatian,0.0009887036867439747,-6511346.594727515,0,0
2,ludicrous_quokka,0.11039985716342926,-6509008.7452044645,0,0
3,interesting_kakapo,0.038453735411167145,-6508235.49906791,0,0
4,axiomatic_serval,0.010982685722410679,-6508927.546950269,0,0
5,adamant_aardwark,0.0013181562535464764,-6507893.196787835,0,0
6,brawny_sloth,0.0005089730257168412,-6509274.938996104,0,0
7,knowing_gerbil,0.0005314557929523289,-6508371.849543965,0,0
8,artichoke_albatross,0.03650261461734772,-6507816.680412448,0,0
9,stoic_dragon,0.0027223476208746433,-6510074.486474097,0,0
10,tourmaline_platypus,0.0002513407089281827,-6508004.9305052,0,0
11,carrot_bittern,0.02052784524857998,-6509030.328573738,0,0
12,hysterical_toucan,0.00018430895579513162,-6510015.134637067,0,0
13,magnificent_cheetah,14.486030578613281,-6509289.3524058405,0,0
14,imaginary_agama,0.00012718320067506284,-6509590.939308831,0,0
15,important_fox,0.0002847363066393882,-6509116.787831718,0,0
16,impressive_impala,0.01937040314078331,-6509806.9165541595,0,0
17,daffy_panther,0.1005546897649765,-6510229.296776686,0,0
18,loyal_crocodile,0.15224145352840424,-6508751.616951818,0,0
19,transparent_kangaroo,0.020078007131814957,-6510442.22748851,0,0
0,archetypal_barnacle,0.037456005811691284,-6513817.99219722,1,0
1,archetypal_dalmatian,0.000593503937125206,-6512380.454273394,1,0
2,ludicrous_quokka,0.05803030729293823,-6512469.008987933,1,0
3,interesting_kakapo,0.021222975105047226,-6511685.20677947,1,0
4,axiomatic_serval,0.002101769670844078,-6512117.048626758,1,0
5,adamant_aardwark,0.0005620106239803135,-6511784.4124570275,1,0
6,brawny_sloth,0.0004473513690754771,-6512298.087527655,1,0
7,knowing_gerbil,0.00042332318844273686,-6517608.894252037,1,0
8,artichoke_albatross,0.01946871541440487,-6512955.905452681,1,0
9,stoic_dragon,0.0016673929058015347,-6514323.2694240855,1,0
10,tourmaline_platypus,0.00021367191220633686,-6512166.657105787,1,0
11,carrot_bittern,0.007610103581100702,-6511575.669375591,1,0
12,hysterical_toucan,0.0001517368364147842,-6514910.423268112,1,0
13,magnificent_cheetah,30.69317626953125,-6516821.733627372,1,0
14,imaginary_agama,9.422303992323577e-05,-6515065.829692807,1,0
15,important_fox,0.0002103820734191686,-6524743.784660969,1,0
16,impressive_impala,0.007057921960949898,-6512378.502885228,1,0
17,daffy_panther,0.03717253729701042,-6511173.882154064,1,0
18,loyal_crocodile,0.05820837616920471,-6513175.821463182,1,0
19,transparent_kangaroo,0.010944482870399952,-6515939.324627436,1,0
0,archetypal_barnacle,0.03787330165505409,-6512423.39200181,2,0
1,archetypal_dalmatian,0.0008101259591057897,-6511510.3546899045,2,0
2,ludicrous_quokka,0.09101821482181549,-6516229.000368813,2,0
3,interesting_kakapo,0.03918151557445526,-6511545.038498644,2,0
4,axiomatic_serval,0.004195667337626219,-6512089.069275613,2,0
5,adamant_aardwark,0.0011387154227122664,-6513293.05014237,2,0
6,brawny_sloth,0.0005654401611536741,-6511319.9598816745,2,0
7,knowing_gerbil,0.0003905123157892376,-6514471.717516149,2,0
8,artichoke_albatross,0.027411431074142456,-6511000.62141723,2,0
9,stoic_dragon,0.0021943917963653803,-6512516.551441502,2,0
10,tourmaline_platypus,0.00018278448260389268,-6511594.207859901,2,0
11,carrot_bittern,0.012961776927113533,-6511464.326715036,2,0
12,hysterical_toucan,0.00014909241872373968,-6514310.133459933,2,0
13,magnificent_cheetah,371.7233581542969,-6516636.403561996,2,0
14,imaginary_agama,0.00011102487042080611,-6514593.952986152,2,0
15,important_fox,0.00018755874771159142,-6518533.28063414,2,0
16,impressive_impala,0.008130672387778759,-6514367.128646248,2,0
17,daffy_panther,0.03106667660176754,-6511152.339857556,2,0
18,loyal_crocodile,0.08054833859205246,-6512057.060211624,2,0
19,transparent_kangaroo,0.01211163867264986,-6513069.233213784,2,0
0,archetypal_barnacle,0.02546408399939537,-6513210.514161665,3,0
1,archetypal_dalmatian,0.0008014708873815835,-6511898.447442636,3,0
2,ludicrous_quokka,0.025131579488515854,-6513735.754476734,3,0
