,name,fisher,jacob_cov,aug,batch
0,laughing_albatross,0.00018347003788221627,-665.8760620117048,0,0
1,teal_swallow,0.0005095076048746705,-665.7295561098646,0,0
2,visionary_hedgehog,0.006110114976763725,-666.7119189133014,0,0
3,uppish_bear,3.543126877048053e-05,-673.6076162885959,0,0
4,voracious_cat,0.004255390260368586,-665.8592393969057,0,0
5,auspicious_pig,0.0031165240798145533,-667.8085049419615,0,0
6,devious_shrew,0.05693108215928078,-669.8993618875993,0,0
7,glittering_caterpillar,0.015649236738681793,-668.4303889025186,0,0
8,obedient_wildcat,0.0004989347653463483,-665.4228823747601,0,0
9,crafty_nyala,0.00017910709721036255,-668.0985270480382,0,0
10,mutant_puma,0.00021625592489726841,-664.5639230372306,0,0
11,granite_snake,0.1320342719554901,-668.8308712977876,0,0
12,cornflower_echidna,0.014028572477400303,-667.1080646299724,0,0
13,versatile_chihuahua,0.004370941314846277,-667.50982853995,0,0
14,sociable_narwhal,0.00013607372238766402,-663.6208185431668,0,0
15,vehement_cricket,0.0021938360296189785,-666.6933658326013,0,0
16,ultraviolet_bison,0.0006669603753834963,-664.6479750662082,0,0
17,indigo_tarantula,0.02838739939033985,-667.9437726939697,0,0
18,tireless_buzzard,0.0006673636380583048,-666.0983504513229,0,0
19,convivial_saluki,0.0028049263637512922,-670.6376123754701,0,0
0,laughing_albatross,0.00013828753435518593,-665.7295516365189,1,0
1,teal_swallow,0.00033191777765750885,-666.3899359750004,1,0
2,visionary_hedgehog,0.006589972879737616,-667.435158982672,1,0
3,uppish_bear,2.7709120331564918e-05,-685.2280674494118,1,0
4,voracious_cat,0.004203961230814457,-665.6214068369277,1,0
5,auspicious_pig,0.0020842074882239103,-667.6116629303674,1,0
6,devious_shrew,0.07905104011297226,-668.7836680525627,1,0
7,glittering_caterpillar,0.012373622506856918,-669.9336976917805,1,0
8,obedient_wildcat,0.00036623814958147705,-667.4319541749767,1,0
9,crafty_nyala,0.0001540402736281976,-668.6182923570016,1,0
10,mutant_puma,0.00020260974997654557,-664.7514174402913,1,0
11,granite_snake,0.16353456676006317,-669.5180039801827,1,0
12,cornflower_echidna,0.018949970602989197,-667.7300274350335,1,0
13,versatile_chihuahua,0.0021321733947843313,-666.138250951607,1,0
14,sociable_narwhal,0.00015624964726157486,-663.2783522388905,1,0
15,vehement_cricket,0.002241903217509389,-665.6140842557854,1,0
16,ultraviolet_bison,0.0005998517153784633,-664.153538271506,1,0
17,indigo_tarantula,0.03035806678235531,-669.819073520682,1,0
18,tireless_buzzard,0.0006242153467610478,-667.023728670318,1,0
19,convivial_saluki,0.002285394351929426,-670.5204663873578,1,0
0,laughing_albatross,0.00012101349420845509,-665.5420027557805,2,0
1,teal_swallow,0.0003725572023540735,-666.9264015038332,2,0
2,visionary_hedgehog,0.004628981463611126,-666.9506945088195,2,0
3,uppish_bear,1.6408936062362045e-05,-675.9330541646439,2,0
4,voracious_cat,0.003218621714040637,-665.8545638310957,2,0
5,auspicious_pig,0.0018779031233862042,-667.1956870175891,2,0
6,devious_shrew,0.05920706316828728,-669.3164540479729,2,0
7,glittering_caterpillar,0.012620420195162296,-669.3503272048533,2,0
8,obedient_wildcat,0.0003726252180058509,-666.8954903319061,2,0
9,crafty_nyala,0.00014309922698885202,-669.2087279088842,2,0
10,mutant_puma,0.00019663633429445326,-663.1434588999796,2,0
11,granite_snake,0.12823116779327393,-669.7722698512398,2,0
12,cornflower_echidna,0.0134999705478549,-668.4061783882239,2,0
13,versatile_chihuahua,0.0024213746655732393,-668.0534177540776,2,0
14,sociable_narwhal,0.00013406932703219354,-664.0874981976358,2,0
15,vehement_cricket,0.0023907951544970274,-666.8622679644473,2,0
16,ultraviolet_bison,0.0005512912757694721,-664.3439405369922,2,0
17,indigo_tarantula,0.03208807110786438,-669.8988093469429,2,0
18,tireless_buzzard,0.000571843353100121,-665.816307747568,2,0
19,convivial_saluki,0.0025051806587725878,-671.3286381060943,2,0
0,laughing_albatross,0.0001755670818965882,-664.6844865619997,3,0
1,teal_swallow,0.00034009042428806424,-667.0992118296664,3,0
2,visionary_hedgehog,0.005008346866816282,-666.5271672723052,3,0
3,uppish_bear,2.8395128538249992e-05,-670.7398468054942,3,0
4,voracious_cat,0.003604970872402191,-667.0058983515802,3,0
5,auspicious_pig,0.0018699379870668054,-667.7682387039417,3,0
6,devious_shrew,0.04240492358803749,-669.1458426364107,3,0
7,glittering_caterpillar,0.014767609536647797,-669.9905913900261,3,0
8,obedient_wildcat,0.0003279162629041821,-667.1163232583729,3,0
9,crafty_nyala,0.00012510886881500483,-668.5025171459413,3,0
10,mutant_puma,0.00018427905160933733,-665.2608716190011,3,0
11,granite_snake,0.1619412899017334,-670.1803236134938,3,0
12,cornflower_echidna,0.013225690461695194,-667.3770684744054,3,0
13,versatile_chihuahua,0.0033905815798789263,-667.8413033689085,3,0
14,sociable_narwhal,0.00010451913112774491,-663.5375031712852,3,0
15,vehement_cricket,0.0022107530385255814,-667.0204082352535,3,0
16,ultraviolet_bison,0.000632374023552984,-665.2283205251208,3,0
17,indigo_tarantula,0.03430718928575516,-669.0091103005649,3,0
18,tireless_buzzard,0.0006307527655735612,-666.2529771948737,3,0
19,convivial_saluki,0.002266887342557311,-672.7069668656627,3,0
0,laughing_albatross,0.000119403688586317,-665.9362291241216,4,0
1,teal_swallow,0.0003229004505556077,-667.9959427727186,4,0
2,visionary_hedgehog,0.004972930997610092,-667.0364126499212,4,0
3,uppish_bear,2.0191762814647518e-05,-676.5576365771751,4,0
4,voracious_cat,0.004125481005758047,-667.5479762705595,4,0
5,auspicious_pig,0.0016099911881610751,-670.5266822172686,4,0
6,devious_shrew,0.07015594840049744,-669.7249401915788,4,0
7,glittering_caterpillar,0.01434693019837141,-670.3959500200716,4,0
8,obedient_wildcat,0.0003848711203318089,-668.4440228919724,4,0
9,crafty_nyala,0.00014007736172061414,-669.3629996149409,4,0
10,mutant_puma,0.0001842573838075623,-664.2755771506631,4,0
11,granite_snake,0.09551938623189926,-669.9106256796816,4,0
12,cornflower_echidna,0.015263204462826252,-668.1650384083239,4,0
13,versatile_chihuahua,0.002974684815853834,-667.6562191088697,4,0
14,sociable_narwhal,0.00011470504978206009,-666.5307084247245,4,0
15,vehement_cricket,0.0024139436427503824,-667.06405222268,4,0
16,ultraviolet_bison,0.0006961401668377221,-665.3662484764606,4,0
17,indigo_tarantula,0.02777472883462906,-670.6341763268581,4,0
18,tireless_buzzard,0.0005246592336334288,-667.4935750293939,4,0
19,convivial_saluki,0.0024797124788165092,-671.4898576957362,4,0
0,laughing_albatross,0.00010840700269909576,-668.6717613699107,5,0
1,teal_swallow,0.0003858174604829401,-672.7875092017497,5,0
2,visionary_hedgehog,0.005978773348033428,-668.0461844989021,5,0
3,uppish_bear,2.567255069152452e-05,-675.0985422384535,5,0
4,voracious_cat,0.0034444103948771954,-668.3290105591013,5,0
5,auspicious_pig,0.0019945837557315826,-670.4027813274228,5,0
6,devious_shrew,0.06550651043653488,-671.5967784661126,5,0
7,glittering_caterpillar,0.016680283471941948,-671.3626186860096,5,0
8,obedient_wildcat,0.0003712089965119958,-668.6983013492395,5,0
9,crafty_nyala,0.00013305767788551748,-671.5849667817029,5,0
10,mutant_puma,0.00016165200213436037,-665.3701653008402,5,0
11,granite_snake,0.1592690497636795,-670.7484313590323,5,0
12,cornflower_echidna,0.01609320193529129,-668.7579677049615,5,0
13,versatile_chihuahua,0.003097828943282366,-668.2228426560033,5,0
14,sociable_narwhal,0.00011263441410847008,-668.6159691582986,5,0
15,vehement_cricket,0.002325734356418252,-668.5847630976715,5,0
16,ultraviolet_bison,0.000656939169857651,-668.9637681993961,5,0
17,indigo_tarantula,0.03912607580423355,-672.8665848177384,5,0
18,tireless_buzzard,0.00048336281906813383,-669.6583079992366,5,0
19,convivial_saluki,0.002629572059959173,-673.3873224112515,5,0
0,laughing_albatross,0.0001262462610611692,-665.0609546412943,6,0
1,teal_swallow,0.00044145938591100276,-666.9624937487838,6,0
2,visionary_hedgehog,0.009716492146253586,-666.666598122674,6,0
3,uppish_bear,2.2524700398207642e-05,-671.1788174749711,6,0
4,voracious_cat,0.0038182390853762627,-666.1775196619019,6,0
5,auspicious_pig,0.0021639422047883272,-667.3713961412245,6,0
6,devious_shrew,0.07050930708646774,-669.4465686840446,6,0
7,glittering_caterpillar,0.017906146124005318,-668.8278301971726,6,0
8,obedient_wildcat,0.00045459772809408605,-666.7993574262243,6,0
9,crafty_nyala,0.00014356843894347548,-668.5384506568591,6,0
10,mutant_puma,0.00017971993656829,-663.9832356707075,6,0
11,granite_snake,0.15396051108837128,-668.948165643533,6,0
12,cornflower_echidna,0.0176364965736866,-667.472219030552,6,0
13,versatile_chihuahua,0.004457042086869478,-667.0758876821969,6,0
14,sociable_narwhal,0.00011205327609786764,-663.9948975531163,6,0
15,vehement_cricket,0.0026955644134432077,-667.4966232387483,6,0
16,ultraviolet_bison,0.0006593766156584024,-664.4389363339847,6,0
17,indigo_tarantula,0.045565612614154816,-668.4538556558167,6,0
18,tireless_buzzard,0.0005858045187778771,-668.3743679137244,6,0
19,convivial_saluki,0.0028820703737437725,-670.7288851941253,6,0
0,laughing_albatross,0.00010705840395530686,-664.4169452683059,7,0
1,teal_swallow,0.00038970899186097085,-665.8092730762603,7,0
2,visionary_hedgehog,0.0052873496897518635,-666.8027171845977,7,0
3,uppish_bear,1.8941331290989183e-05,-675.7139800656433,7,0
4,voracious_cat,0.0027967477217316628,-666.9431647374869,7,0
5,auspicious_pig,0.002156102331355214,-666.8369212382061,7,0
6,devious_shrew,0.04773622006177902,-668.4189671612729,7,0
7,glittering_caterpillar,0.014606492593884468,-669.2542024695192,7,0
8,obedient_wildcat,0.0005491322954185307,-667.6992205207832,7,0
9,crafty_nyala,0.00013747144839726388,-666.5348188766618,7,0
10,mutant_puma,0.00017564694280736148,-665.7478018648894,7,0
11,granite_snake,0.09378506243228912,-669.8215897075365,7,0
12,cornflower_echidna,0.023335948586463928,-666.905348145961,7,0
13,versatile_chihuahua,0.003427783725783229,-666.6842437585368,7,0
14,sociable_narwhal,0.00011692734551616013,-662.9795942038394,7,0
15,vehement_cricket,0.0026301895268261433,-666.8325827930282,7,0
16,ultraviolet_bison,0.0008234716951847076,-665.3951766543597,7,0
17,indigo_tarantula,0.029577579349279404,-668.5679495062087,7,0
18,tireless_buzzard,0.0005341853830032051,-665.7011906236326,7,0
19,convivial_saluki,0.0033919408451765776,-669.4799640739302,7,0
0,laughing_albatross,9.3045127869118e-05,-664.8790847845551,8,0
1,teal_swallow,0.0004811009275726974,-666.5596935529497,8,0
2,visionary_hedgehog,0.007188303861767054,-667.1811569216036,8,0
3,uppish_bear,1.9776809494942427e-05,-675.9062299754622,8,0
4,voracious_cat,0.005146606359630823,-666.6464437667457,8,0
5,auspicious_pig,0.0029101951513439417,-668.2086821856275,8,0
6,devious_shrew,0.07913489639759064,-668.8795633965906,8,0
7,glittering_caterpillar,0.02140055224299431,-668.5184578115934,8,0
8,obedient_wildcat,0.0004988758009858429,-666.8738122213484,8,0
9,crafty_nyala,0.00014224105689208955,-668.0072653635494,8,0
10,mutant_puma,0.00028682773699983954,-663.7590047259957,8,0
11,granite_snake,0.1113305613398552,-668.7960669129081,8,0
12,cornflower_echidna,0.016370272263884544,-667.3562475639849,8,0
13,versatile_chihuahua,0.004550149664282799,-666.536002218349,8,0
14,sociable_narwhal,0.0001179427927127108,-663.7604276549902,8,0
15,vehement_cricket,0.0032548534218221903,-667.7860519078424,8,0
16,ultraviolet_bison,0.0006460467702709138,-664.53467413579,8,0
17,indigo_tarantula,0.05656265839934349,-668.978681173497,8,0
18,tireless_buzzard,0.0005958845722489059,-666.0045523046422,8,0
19,convivial_saluki,0.003342614509165287,-668.1040186228026,8,0
0,laughing_albatross,0.00012533781409729272,-664.5549852143424,9,0
1,teal_swallow,0.0005083192372694612,-668.5846679011854,9,0
2,visionary_hedgehog,0.0072799925692379475,-666.3359811419084,9,0
3,uppish_bear,2.5052224373212084e-05,-671.6232822988997,9,0
4,voracious_cat,0.004005631897598505,-666.1333562065195,9,0
5,auspicious_pig,0.0019059258047491312,-667.7427970418814,9,0
6,devious_shrew,0.05225059762597084,-669.8576121137918,9,0
7,glittering_caterpillar,0.015974760055541992,-669.8354224708568,9,0
8,obedient_wildcat,0.0005062211421318352,-666.4870160713175,9,0
9,crafty_nyala,0.00014440473751164973,-666.7055850467272,9,0
10,mutant_puma,0.00015884237654972821,-664.3894637675189,9,0
11,granite_snake,0.10277599096298218,-668.2969894339137,9,0
12,cornflower_echidna,0.017345918342471123,-668.1844325485865,9,0
13,versatile_chihuahua,0.003618840128183365,-666.7469504842303,9,0
14,sociable_narwhal,0.00012039284774800763,-663.9057007568283,9,0
15,vehement_cricket,0.002517544198781252,-667.1312128441243,9,0
16,ultraviolet_bison,0.0008772743167355657,-665.0380824309163,9,0
17,indigo_tarantula,0.04143261909484863,-668.4671479362388,9,0
18,tireless_buzzard,0.0005823762621730566,-666.5674259750152,9,0
19,convivial_saluki,0.002758394693955779,-669.6373227875495,9,0
0,laughing_albatross,0.00017437594942748547,-664.832060677349,10,0
1,teal_swallow,0.00040648540016263723,-666.919010260883,10,0
2,visionary_hedgehog,0.006698959041386843,-666.2949144770186,10,0
3,uppish_bear,3.3714022720232606e-05,-675.0457521342306,10,0
