,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
9,94.9,89.91,0.37,9,0.4810731416222209,0.5183193626414919,0.603128354439359,0.2970873092892663,0.21904600883741637,0.14062951733183127,0.2871848172776139,12.0,17.0,13.0,13.0,15.0,20.0,15.0,0.35967552616924764,21.0,RegNetY_400MF
13,94.05,89.11,0.39,13,0.19082883586390187,0.7490248119682832,0.8314299288503129,0.2373214702384734,0.17426449802243543,0.6926585003052423,0.24991254833174148,21.0,10.0,3.0,16.0,17.0,7.0,17.0,0.8669229983276778,11.0,RegNetY_400MF
8,95.07,89.07,0.4,8,0.12919704971909374,0.5393420835374343,0.7500862507536865,0.43478774464957914,0.32371448447882084,0.24791979919552887,0.5181934468592693,22.0,15.0,6.0,10.0,11.0,18.0,10.0,0.5716342836743498,18.0,RegNetY_400MF
14,95.0,88.92,0.4,14,1.0000000000000004,0.8961955541256117,0.491634934204799,0.04439557849472653,0.12884972090183183,0.6712998650408508,0.06070518799730573,1.0,4.0,18.0,22.0,18.0,8.0,22.0,0.8001495859426826,13.0,RegNetY_400MF
5,81.04,88.45,0.4,5,0.3036419232806491,0.48386293926007795,0.6148671398436987,0.0,0.055170487980649885,0.06423784346509365,0.0,19.0,20.0,11.0,23.0,22.0,22.0,23.0,0.11940833144574353,22.0,RegNetY_400MF
4,81.56,88.3,0.41,4,0.3494575678550036,0.0,0.48433981058619535,0.13631473686390216,0.08661173845172215,0.40926861496325273,0.28567736409813316,16.0,23.0,19.0,19.0,21.0,14.0,16.0,0.4958803534149749,20.0,RegNetY_400MF
11,95.6,87.65,0.46,11,0.6520114256385168,0.8290767145200846,0.5903911841425904,0.3379885539164016,0.2493266506268746,0.7761904850807468,0.40065984056066695,4.0,9.0,14.0,12.0,13.0,3.0,12.0,1.0255171357076214,7.0,RegNetY_400MF
12,96.01,86.73,0.48,12,0.6961510087148164,0.6914427236525853,0.5071142349176136,0.21101599035750662,0.19779358177305834,0.6946981926931812,0.23013725380044558,2.0,12.0,17.0,17.0,16.0,6.0,18.0,0.8924917744662395,10.0,RegNetY_400MF
1,84.17,86.47,0.46,1,0.4914773953941429,0.6387179559023508,0.6813949729373804,0.08291927524536025,0.0,0.11080086974197911,0.13203308392183333,11.0,14.0,8.0,21.0,23.0,21.0,21.0,0.11080086974197911,23.0,RegNetY_400MF
2,85.63,85.66,0.48,2,0.0,0.10853943101356833,0.056459161582393336,0.5917785873101928,0.5158737871756218,0.17435377544120456,0.679442118482338,23.0,22.0,22.0,8.0,9.0,19.0,8.0,0.6902275626168264,16.0,RegNetY_400MF
22,75.08,83.88,0.54,22,0.3783975727591473,0.7087990914137094,0.7605752150731411,0.4976603222308371,0.567955124690191,0.2731832331757005,0.5143242153265577,14.0,11.0,5.0,9.0,8.0,17.0,11.0,0.8411383578658915,12.0,RegNetY_400MF
10,98.36,82.27,0.66,10,0.6347944683811573,0.5178618284266037,1.0,0.12117544921938261,0.09456637322065814,0.42065199402043163,0.13403087667582803,5.0,18.0,1.0,20.0,20.0,13.0,20.0,0.5152183672410897,19.0,RegNetY_400MF
3,89.0,82.19,0.63,3,0.6688427253908005,0.43606641510925215,0.5764424860277986,0.3765444923730994,0.25033012752908773,0.33756798144122513,0.5375051443477505,3.0,21.0,15.0,11.0,12.0,16.0,9.0,0.5878981089703128,17.0,RegNetY_400MF
6,86.22,80.91,0.61,6,0.5054440808393945,0.5262725547761704,0.5544613710526349,0.2662032292014247,0.32474202660850987,0.3768066149062861,0.3368485703245123,10.0,16.0,16.0,15.0,10.0,15.0,13.0,0.701548641514796,15.0,RegNetY_400MF
7,93.72,80.28,0.69,7,0.37190560030433684,0.691062021850513,0.809642518838833,0.2898045749591176,0.24889230712227955,0.7567598983079051,0.3136419756520916,15.0,13.0,4.0,14.0,14.0,4.0,14.0,1.0056522054301846,8.0,RegNetY_400MF
0,93.54,79.24,0.72,0,0.615909330398972,0.5138302871796725,0.35699602258206653,0.1406641708065528,0.11838362422202703,0.5929437639908883,0.16524784673262793,6.0,19.0,20.0,18.0,19.0,10.0,19.0,0.7113273882129154,14.0,RegNetY_400MF
18,94.12,62.56,1.29,18,0.3154742574814593,0.8787357350377505,0.6285612431519846,0.8246551492436611,1.0,0.49150905190390404,0.8614711730764086,17.0,5.0,10.0,7.0,1.0,12.0,4.0,1.491509051903904,5.0,RegNetY_400MF
21,89.44,62.17,1.24,21,0.30962784222413875,0.8452113185329466,0.2485417804819136,0.8385218623087372,0.9275759748771335,0.5331412564587481,0.8326542106295642,18.0,8.0,21.0,6.0,5.0,11.0,6.0,1.4607172313358816,6.0,RegNetY_400MF
20,94.88,58.58,1.48,20,0.38004201451495234,1.0,0.0,0.8437188917914147,0.9974476087380535,1.0,0.8976268964538145,13.0,1.0,23.0,4.0,2.0,1.0,3.0,1.9974476087380535,1.0,RegNetY_400MF
