,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
7,57.36,59.26,0.9,13,0.25503481194258715,0.5429133235152221,0.39708106047912006,0.4978213519762533,0.4334084667054597,0.9913364311419706,0.5397347199399358,13.0,12.0,12.0,7.0,7.0,2.0,7.0,1.4247448978474302,5.0,RegNetY_400MF
8,58.36,58.88,0.9,14,0.30112552750553645,0.0,0.8191037328968245,0.5416132100318858,0.46566607740890414,0.45537878299356294,0.5936716593563127,11.0,16.0,2.0,6.0,6.0,15.0,6.0,0.921044860402467,12.0,RegNetY_400MF
5,61.45,58.32,0.91,11,0.0,0.051640473980341994,0.11402460172519174,0.796696772083479,0.9318071670377954,0.0,1.0,16.0,15.0,15.0,4.0,2.0,16.0,1.0,0.9318071670377954,11.0,RegNetY_400MF
6,64.13,57.84,0.92,12,0.6060003963528113,0.18636019049085917,0.329410775531367,0.1277837339899004,0.121838959641768,0.5940163701161261,0.1539827994606191,4.0,14.0,14.0,15.0,15.0,14.0,14.0,0.715855329757894,15.0,RegNetY_400MF
2,72.06,57.44,0.94,8,0.6209422135680134,0.7877358198866204,0.4136463204434562,0.8888646526432227,0.8470041847364251,1.0,0.9258149730021659,3.0,3.0,10.0,2.0,4.0,1.0,4.0,1.8470041847364251,1.0,RegNetY_400MF
3,63.54,56.51,0.94,9,0.4517721463361015,0.5835277350204251,0.768676574871255,0.38879287240679417,0.3432293168007788,0.6736591706062782,0.44865848574912803,6.0,9.0,3.0,10.0,9.0,11.0,9.0,1.016888487407057,10.0,RegNetY_400MF
14,55.11,56.34,0.94,20,0.44377223624911766,0.753896558958445,0.0,0.8584312037215673,1.0,0.7389699878042357,0.9824167178141945,7.0,4.0,16.0,3.0,1.0,8.0,3.0,1.7389699878042357,2.0,RegNetY_400MF
12,57.55,56.15,0.94,18,0.3609979132126875,1.0,0.5707649825094293,0.0,0.0,0.6965823442723007,0.0,8.0,1.0,6.0,16.0,16.0,9.0,16.0,0.6965823442723007,16.0,RegNetY_400MF
1,57.89,55.73,0.93,1,0.18598126825714445,0.3056732519024763,0.4024414649697693,0.40942906899876297,0.2671015906588407,0.6356929686659818,0.44089610468872165,14.0,13.0,11.0,8.0,12.0,13.0,10.0,0.9027945593248226,13.0,RegNetY_400MF
15,57.7,55.69,0.94,21,0.9999999999999996,0.6960269352820205,1.0,0.3592912380886588,0.29689914762956665,0.9321924391016196,0.4070029986077892,1.0,5.0,1.0,11.0,10.0,4.0,11.0,1.2290915867311862,7.0,RegNetY_400MF
9,57.93,52.42,0.98,15,0.5646212269635904,0.6192131621871795,0.33082606599600467,0.2697753265743634,0.27191991442216495,0.8695887550254042,0.3130201358125202,5.0,6.0,13.0,13.0,11.0,6.0,12.0,1.1415086694475691,8.0,RegNetY_400MF
13,56.63,52.37,0.98,19,0.3292551996488924,0.5928165655533348,0.7646506760608223,0.12804248567202192,0.13221873624447827,0.642445553586839,0.14787057391556702,9.0,8.0,4.0,14.0,14.0,12.0,15.0,0.7746642898313172,14.0,RegNetY_400MF
10,54.33,51.56,0.98,16,0.32471844122304816,0.6073860104382902,0.5409904516838738,0.3015686145780132,0.18317390497538394,0.9132374277450808,0.2734764274190671,10.0,7.0,7.0,12.0,13.0,5.0,13.0,1.0964113327204648,9.0,RegNetY_400MF
11,52.01,49.86,1.0,17,0.26777436208982186,0.948338181129543,0.4604847558091774,0.9999999999999998,0.9279456965148416,0.6915215966697055,0.9919258397310924,12.0,2.0,8.0,1.0,3.0,10.0,2.0,1.619467293184547,3.0,RegNetY_400MF
0,89.03,49.56,1.3,0,0.875380119981807,0.5459659405239563,0.42188829101158376,0.406140462823537,0.41092935240778633,0.953107339719196,0.48608983962515095,2.0,11.0,9.0,9.0,8.0,3.0,8.0,1.3640366921269824,6.0,RegNetY_400MF
4,79.8,48.94,1.2,10,0.1276185472878737,0.5570080766989349,0.5976193038582818,0.6305337955494881,0.7219741223473377,0.8176661245830985,0.7006526635674912,15.0,10.0,5.0,5.0,5.0,7.0,5.0,1.5396402469304362,4.0,RegNetY_400MF
