,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
1,81.35,78.23,0.68,1,0.7743090991280335,0.8231515099496391,0.7206282752844935,0.7695694571673415,0.6770529198139584,0.4708430739825076,0.7842733816194554,5.0,5.0,3.0,5.0,7.0,16.0,4.0,1.1478959937964661,11.0,RegNetY_400MF
14,81.13,77.6,0.69,14,0.753356699269137,0.3152060245946018,0.6167771385177858,0.5746778602697247,0.5806034680198623,0.7809800347162081,0.5589112472114741,6.0,20.0,9.0,11.0,10.0,6.0,12.0,1.3615835027360705,8.0,RegNetY_400MF
12,87.26,76.82,0.74,12,0.9325470586056834,0.0,0.6470833727368535,0.506448222148113,0.41955498865156116,0.9487708929170537,0.5201581595246192,2.0,23.0,6.0,14.0,14.0,4.0,14.0,1.368325881568615,7.0,RegNetY_400MF
11,83.73,76.17,0.75,11,0.25617163077680427,0.11763870547360966,0.6443991339461255,0.3317002460687002,0.3209002309090847,0.3425340646642496,0.3459822445636691,16.0,22.0,7.0,19.0,17.0,20.0,18.0,0.6634342955733343,19.0,RegNetY_400MF
2,90.48,75.61,0.81,2,0.2881651663140161,0.6127154598293032,0.559580326951241,0.17798600779515739,0.14950485456499107,0.37958480306082265,0.15422912419922663,15.0,8.0,11.0,22.0,21.0,19.0,22.0,0.5290896576258137,21.0,RegNetY_400MF
22,83.04,75.01,0.79,22,0.08093823812678824,0.42057911184275554,0.4453173211626864,0.3328653585484904,0.20410218428862703,0.5203696887968761,0.3360678184212307,20.0,19.0,14.0,18.0,20.0,13.0,19.0,0.7244718730855031,18.0,RegNetY_400MF
4,75.06,74.75,0.8,4,0.37942091092847363,0.7699011968464902,0.5642085543835316,0.63783576135457,0.636757782301783,0.4977293439060304,0.6574864123368478,11.0,6.0,10.0,10.0,9.0,14.0,10.0,1.1344871262078136,13.0,RegNetY_400MF
5,75.57,74.69,0.81,5,0.027800108816673497,0.23598610001863563,0.6817524783039248,0.2983244773929785,0.1485778971096926,0.33641085468693177,0.2996442745414438,21.0,21.0,5.0,21.0,22.0,21.0,21.0,0.4849887517966244,22.0,RegNetY_400MF
20,84.07,73.38,0.83,20,1.0,0.58263827547961,0.43934600522142786,0.46608197961374787,0.40487565267507863,0.6235904522424391,0.4578422298449474,1.0,10.0,15.0,15.0,15.0,9.0,15.0,1.0284661049175177,16.0,RegNetY_400MF
13,73.77,73.17,0.82,13,0.7348126259314594,0.4621833019552355,0.27277013704473313,1.0,1.0,0.4739095311065853,1.0,7.0,16.0,20.0,1.0,1.0,15.0,1.0,1.4739095311065853,3.0,RegNetY_400MF
