,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
8,69.28,71.6,0.66,14,0.23673027660973478,0.0,0.9628651205813895,0.49217984140850035,0.44520466624403465,0.032538142998554065,0.44255536426006614,11.0,16.0,2.0,8.0,7.0,15.0,8.0,0.4777428092425887,13.0,RegNetY_400MF
7,69.39,70.69,0.67,13,0.23961448822585218,0.24747337677226255,0.0,0.2458704207460598,0.22859483001470737,0.08634156985554853,0.2332819456270121,10.0,9.0,16.0,14.0,12.0,13.0,12.0,0.3149363998702559,15.0,RegNetY_400MF
6,70.63,70.38,0.67,12,0.07973738271349262,0.132178044756742,0.4849221676251008,0.0,0.0,0.04883197603560774,0.018703278657766997,15.0,14.0,14.0,16.0,16.0,14.0,15.0,0.04883197603560774,16.0,RegNetY_400MF
2,72.69,70.21,0.68,8,0.16703168021881254,0.19442659347404856,0.8690970826167113,0.9592470639934669,1.0,0.15459909767199065,0.9970326614960303,12.0,13.0,4.0,3.0,1.0,10.0,2.0,1.1545990976719906,6.0,RegNetY_400MF
3,71.23,69.94,0.7,9,0.0,0.2112315173797299,0.7689065674349529,0.46618366297616154,0.3816740349814963,0.29959954061999383,0.41514349990931576,16.0,12.0,6.0,9.0,11.0,9.0,9.0,0.6812735756014902,11.0,RegNetY_400MF
5,68.04,68.9,0.71,11,0.32500554220056177,0.1302910959453527,0.5755367619141151,0.5309875229729948,0.47557711407693504,0.0,0.49725088428250963,8.0,15.0,11.0,7.0,6.0,16.0,7.0,0.47557711407693504,14.0,RegNetY_400MF
12,69.37,67.57,0.75,18,0.7750605831997168,0.7430501024798062,0.595153472564387,0.3170424482229177,0.38628406923747904,0.8448404564756018,0.2632217992278889,7.0,6.0,10.0,12.0,10.0,7.0,11.0,1.231124525713081,4.0,RegNetY_400MF
15,67.97,67.0,0.75,21,1.0,0.7476022932849631,0.8261293217319581,0.25014633330546054,0.16517526016189987,1.0,0.18738569548517825,1.0,5.0,5.0,13.0,13.0,1.0,14.0,1.1651752601618999,5.0,RegNetY_400MF
14,65.59,65.75,0.78,20,0.8742740413730079,0.6740445450454402,0.49496769639225324,0.32170865706055984,0.05565145950464423,0.9556326557528436,0.22286018821212794,3.0,7.0,13.0,11.0,15.0,4.0,13.0,1.0112841152574878,9.0,RegNetY_400MF
1,58.96,58.16,0.95,1,0.2791161003767755,0.32616664883951785,0.5995796113746305,0.721713416228853,0.42898772891903303,0.09493902131791998,0.6859313980821411,9.0,8.0,9.0,5.0,8.0,12.0,5.0,0.523926750236953,12.0,RegNetY_400MF
13,70.24,55.08,1.1,19,0.8515587985570514,0.7568900346487766,0.6776722470865759,0.08663776769209708,0.06353950303195455,0.9763526423691573,0.0,4.0,3.0,7.0,15.0,14.0,2.0,16.0,1.0398921454011119,8.0,RegNetY_400MF
4,73.34,55.0,1.11,10,0.12288311178890599,0.22593557560480804,0.6225323749551981,0.9767541315807735,0.7985654896493833,0.34468245691630983,1.0,13.0,10.0,8.0,2.0,2.0,8.0,1.0,1.143247946565693,7.0,RegNetY_400MF
9,78.63,54.66,1.18,15,0.809443004828406,0.7480756672495588,0.450201096638304,0.5562329092484428,0.4844608220472014,0.9167673259001674,0.5429787209330379,5.0,4.0,15.0,6.0,5.0,6.0,6.0,1.4012281479473687,3.0,RegNetY_400MF
10,69.09,54.4,1.13,16,0.7755870505080376,0.9157267635979736,0.5090102737531754,1.0,0.7503763382680816,0.945564032425537,0.9009373528615554,6.0,2.0,12.0,1.0,4.0,5.0,3.0,1.6959403706936187,1.0,RegNetY_400MF
11,70.36,53.29,1.12,17,0.9726547389862175,1.0,0.9335486977131604,0.39056759531235263,0.4254736320060145,0.9758541385220951,0.30224481335585995,2.0,1.0,3.0,10.0,9.0,3.0,10.0,1.4013277705281095,2.0,RegNetY_400MF
0,64.24,51.81,1.13,0,0.09328056839375343,0.21644629563768802,1.0,0.8233263294981259,0.755082976235487,0.1298059876757165,0.862440351693829,14.0,11.0,1.0,4.0,3.0,11.0,4.0,0.8848889639112035,10.0,RegNetY_400MF
