,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
5,18.92,21.23,3.38,5,0.0,0.6687696203372866,0.6320128686950731,0.5146710939073693,0.4986075808990468,0.5497990342883909,0.5084525787139746,1.0,16.0,11.0,10.0,9.0,10.0,10.0,1.0484066151874378,8.0,RegNetY_400MF
4,21.06,20.73,3.4,4,0.0,0.6315014535467753,0.6323410283155724,0.3362482470872461,0.32022749903140124,0.1728173684395884,0.31586070252807774,1.0,17.0,10.0,16.0,16.0,20.0,16.0,0.49304486747098963,18.0,RegNetY_400MF
14,22.89,20.67,3.56,14,0.0,0.05821706145627559,0.35946048809959985,0.3129754675610106,0.3277298105664289,0.15589287771828708,0.30242129461354805,1.0,22.0,17.0,17.0,14.0,21.0,17.0,0.483622688284716,19.0,RegNetY_400MF
1,21.06,20.1,3.46,1,0.0,1.0,0.49390843227185566,0.6098958580580103,0.4415720918175404,0.28555412698079863,0.5606923677275053,1.0,1.0,16.0,7.0,10.0,18.0,7.0,0.727126218798339,15.0,RegNetY_400MF
12,30.62,19.53,3.54,12,0.0,0.0,0.7812368838378552,1.0,0.9999999999999999,0.0,1.0,1.0,23.0,5.0,1.0,1.0,23.0,1.0,0.9999999999999999,10.0,RegNetY_400MF
2,23.77,19.5,3.48,2,0.0,0.7944105109121438,1.0,0.9739325675472825,0.9244304686520287,0.41569273072325785,0.9909563637415828,1.0,6.0,1.0,2.0,2.0,13.0,2.0,1.3401231993752867,4.0,RegNetY_400MF
11,24.59,19.37,3.53,11,0.0,0.48725141937796934,0.2554243707383391,0.6311627793594443,0.5805675239622893,0.3094498871794755,0.6323499198072255,1.0,19.0,21.0,6.0,6.0,17.0,6.0,0.8900174111417648,11.0,RegNetY_400MF
6,21.8,18.37,3.57,6,0.0,0.7581052311139729,0.3568521235919382,0.0,0.03527892600654714,0.4240277878863665,0.012327847140773507,1.0,8.0,18.0,23.0,22.0,12.0,22.0,0.45930671389291367,20.0,RegNetY_400MF
3,23.74,18.0,3.64,3,0.0,0.6693299497966336,0.509158447609785,0.4653742476748648,0.3266712538626967,0.3659986989607873,0.4666548283396339,1.0,15.0,15.0,14.0,15.0,14.0,11.0,0.692669952823484,16.0,RegNetY_400MF
22,15.8,17.93,3.56,22,0.0,0.3619988449596008,0.33727273191583707,0.22686135919539874,0.10805759465595555,0.3350521057339222,0.21071284037006954,1.0,21.0,19.0,19.0,20.0,15.0,20.0,0.44310970038987774,21.0,RegNetY_400MF
8,25.03,17.73,3.67,8,0.0,0.7937106775682423,0.8680203608740609,0.8614115422168109,0.8244067450030602,0.6898415564445486,0.8538262569601369,1.0,7.0,2.0,4.0,3.0,2.0,3.0,1.514248301447609,1.0,RegNetY_400MF
7,23.37,17.6,3.72,7,0.0,0.7026461437862963,0.0,0.5509620652359395,0.516420438274528,0.6795302285817115,0.5145598870708161,1.0,14.0,23.0,9.0,8.0,4.0,9.0,1.1959506668562394,6.0,RegNetY_400MF
13,18.33,17.5,3.58,13,0.0,0.47394332798165806,0.6739772084323079,0.8808460682792396,0.76060568768635,0.6860651097406034,0.8505815512092867,1.0,20.0,8.0,3.0,4.0,3.0,4.0,1.4466707974269535,2.0,RegNetY_400MF
9,24.08,17.33,3.62,9,0.0,0.6311921160714746,0.8440294579738699,0.3596077581063799,0.24743467573936362,0.5796720159126494,0.3696648418995392,1.0,18.0,3.0,15.0,17.0,9.0,15.0,0.827106691652013,13.0,RegNetY_400MF
10,20.15,17.13,3.59,10,0.0,0.7297002923641571,0.5674279031935073,0.2531291978491619,0.18727492948414393,0.21509453479915663,0.24871334164922976,1.0,12.0,13.0,18.0,19.0,19.0,18.0,0.40236946428330056,22.0,RegNetY_400MF
0,25.79,17.07,3.65,0,0.0,0.7165688360609579,0.2351746222474801,0.21129382602637614,0.0919469207920236,0.6619295212697978,0.21114885018266838,1.0,13.0,22.0,21.0,21.0,5.0,19.0,0.7538764420618214,14.0,RegNetY_400MF
20,22.4,15.1,3.71,20,0.0,0.73108490951671,0.5933091236364636,0.46864977284303544,0.40737389032281,0.6213372153807484,0.4442256908344264,1.0,11.0,12.0,13.0,11.0,7.0,12.0,1.0287111057035583,9.0,RegNetY_400MF
19,24.94,15.0,3.83,19,0.0,0.8080599115276073,0.7951547622139974,0.21187246364911205,0.22576625748441348,0.32218443429595567,0.1988216636628235,1.0,5.0,4.0,20.0,18.0,16.0,21.0,0.5479506917803691,17.0,RegNetY_400MF
15,24.27,14.1,3.83,15,0.0,0.757256417014446,0.3321041317248321,0.5969428431763744,0.5532446184282686,0.6345214515982605,0.5303947064709273,1.0,9.0,20.0,8.0,7.0,6.0,8.0,1.187766070026529,7.0,RegNetY_400MF
21,20.78,13.77,3.78,21,0.0,0.7360722992616502,0.6771483527455536,0.032042924390923044,0.0,0.10932727238765239,0.0,1.0,10.0,7.0,22.0,23.0,22.0,23.0,0.10932727238765239,23.0,RegNetY_400MF
16,19.34,13.5,3.8,16,0.0,0.8349086735154287,0.5216351324687922,0.4904660791335065,0.33197468260845964,0.5009170990103939,0.43036824199654466,1.0,4.0,14.0,12.0,13.0,11.0,14.0,0.8328917816188536,12.0,RegNetY_400MF
