,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
14,60.23,60.79,0.89,14,0.5811758852993449,1.0,0.4207710410309128,0.8436495866188198,0.3880005142764852,0.6843370149504153,0.8093024610414763,12.0,1.0,16.0,4.0,9.0,7.0,6.0,1.0723375292269006,10.0,RegNetY_400MF
12,63.46,60.69,0.89,12,0.8847027617811563,0.9789959786181868,0.0,0.6767925883209482,0.2883870992393276,1.0,0.6420729276982313,4.0,2.0,23.0,9.0,12.0,1.0,10.0,1.2883870992393276,5.0,RegNetY_400MF
11,62.4,60.41,0.9,11,0.5694507330702008,0.805303228564938,0.8979421207908254,0.8319020115792544,0.39506569194674535,0.3702142477011421,0.8153543640898344,14.0,10.0,4.0,5.0,8.0,17.0,5.0,0.7652799396478874,17.0,RegNetY_400MF
13,57.25,57.96,0.95,13,0.23666504297921076,0.9649354508798211,0.8720358525569318,0.6430095703644387,0.28174903136540463,0.6550685623581103,0.6219284542786208,22.0,3.0,5.0,11.0,13.0,8.0,11.0,0.9368175937235149,11.0,RegNetY_400MF
9,66.96,54.17,1.05,9,0.0,0.8707450135796648,0.17420096408345442,0.7260284232553182,0.3810650049071391,0.0,0.7007738271810235,23.0,8.0,22.0,8.0,10.0,23.0,8.0,0.3810650049071391,20.0,RegNetY_400MF
8,59.49,53.91,1.03,8,0.6019501191956866,0.8836107431895073,0.5509302515463461,0.5507018167657167,0.2726759840226739,0.6182794332867161,0.5201568041104183,10.0,6.0,12.0,14.0,14.0,12.0,14.0,0.89095541730939,12.0,RegNetY_400MF
1,47.89,52.66,1.04,1,0.4844054824575874,0.17245984067452014,0.3626742532930066,0.0,0.0,0.13942774086444842,0.006738546373614485,17.0,22.0,17.0,23.0,23.0,22.0,22.0,0.13942774086444842,23.0,RegNetY_400MF
2,51.1,52.35,1.05,2,1.0000000000000009,0.290167429279947,0.943049590345062,0.2615895629344336,0.06552785493020358,0.2358434144025523,0.2551170605324182,1.0,21.0,2.0,20.0,20.0,20.0,20.0,0.3013712693327559,22.0,RegNetY_400MF
5,49.41,52.26,1.05,5,0.6965762952664214,0.591873892903493,0.4870071450278537,0.05146015535284065,0.05365018971404109,0.6362251820253277,0.0,8.0,19.0,14.0,22.0,22.0,9.0,23.0,0.6898753717393689,18.0,RegNetY_400MF
4,49.8,51.39,1.06,4,0.6983756142259869,0.0,0.5921945456907365,0.2715655897143232,0.0849869632934897,0.24707295316966338,0.25808922675764623,7.0,23.0,11.0,19.0,19.0,19.0,19.0,0.3320599164631531,21.0,RegNetY_400MF
22,42.86,49.32,1.11,22,0.5895818496888454,0.7603640024423157,0.21015158722049967,0.48837582678725977,0.17324164802757538,0.6317842537857814,0.4645760391425451,11.0,13.0,20.0,17.0,17.0,10.0,16.0,0.8050259018133568,15.0,RegNetY_400MF
6,45.5,44.79,1.18,6,0.4852903395721704,0.8513700579026988,0.47850817235996856,0.13848772505395712,0.06253677780867306,0.8202989414119202,0.08733945734156423,16.0,9.0,15.0,21.0,21.0,3.0,21.0,0.8828357192205932,14.0,RegNetY_400MF
3,46.25,43.79,1.18,3,0.6793349249217409,0.47286719992054316,0.7045425049839957,0.2761931084213032,0.11021964348091487,0.7727539986742613,0.2844035081167653,9.0,20.0,9.0,18.0,18.0,4.0,18.0,0.8829736421551762,13.0,RegNetY_400MF
7,46.69,43.09,1.19,7,0.6986641400368008,0.8915649628207944,0.30574281792525865,0.49516203088133204,0.22084366293199745,0.44718570216105036,0.43772096891515067,6.0,5.0,18.0,16.0,16.0,15.0,17.0,0.6680293650930478,19.0,RegNetY_400MF
10,50.65,41.01,1.25,10,0.9403127134393072,0.8923796809033178,0.2972570518587402,0.5356087474863973,0.2547233100562566,0.8823713542683436,0.49883786175017364,2.0,4.0,19.0,15.0,15.0,2.0,15.0,1.1370946643246,9.0,RegNetY_400MF
0,49.33,40.19,1.25,0,0.478432836496669,0.8814139808553705,0.7069100234171154,0.67417077259105,0.3490853682739389,0.4220735741903354,0.6766448965384582,18.0,7.0,8.0,10.0,11.0,16.0,9.0,0.7711589424642743,16.0,RegNetY_400MF
20,51.56,26.12,1.51,20,0.4990144335272282,0.6538248476295792,0.6148448231335255,0.8296712172957768,0.8413401560866469,0.618542781238375,0.824483537823161,15.0,18.0,10.0,6.0,4.0,11.0,4.0,1.459882937325022,4.0,RegNetY_400MF
15,95.09,25.97,2.35,15,0.39912674551644844,0.7207193827547798,0.527887647096976,0.7862642512178337,0.9147132921680678,0.5523431629030711,0.7814343952054519,19.0,16.0,13.0,7.0,2.0,14.0,7.0,1.467056455071139,3.0,RegNetY_400MF
16,96.98,25.73,1.89,16,0.37339313134950824,0.742490588238141,0.9400090404977361,0.86162760934109,0.840063223416127,0.30614611490500465,0.8301098558859321,21.0,15.0,3.0,3.0,5.0,18.0,3.0,1.1462093383211318,8.0,RegNetY_400MF
18,62.94,25.55,1.52,18,0.766482339140949,0.7076913587900009,0.7609900843686511,0.9160339708596394,0.8464163420582781,0.7442733138698259,0.8998592892026132,5.0,17.0,7.0,2.0,3.0,6.0,2.0,1.590689655928104,1.0,RegNetY_400MF
