,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
16,49.94,39.65,1.55,16,0.45832011305290976,0.9920070211969914,0.5585605199421202,0.34309409259602,0.2633335190508631,0.9980639112191327,0.32729638423209706,14.0,4.0,7.0,18.0,18.0,11.0,18.0,1.2613974302699957,15.0,RegNetY_400MF
2,42.51,39.45,1.63,2,0.8070809228803562,0.9355915810013005,0.8720543245096682,0.46257210058317977,0.41494337053999075,0.9441410452681359,0.49123393968801543,4.0,20.0,2.0,15.0,13.0,20.0,15.0,1.3590844158081268,12.0,RegNetY_400MF
19,52.1,39.35,1.57,19,0.6318290657544976,0.9824625259779434,0.26213340666426715,0.8580847361497326,0.7827526409537197,0.9981268019844843,0.8527794334893029,8.0,12.0,14.0,2.0,2.0,8.0,2.0,1.780879442938204,2.0,RegNetY_400MF
15,61.43,39.31,1.63,15,0.3667016318409857,0.9854756013443464,0.25127002883115485,0.518736366363719,0.48970084194313446,0.9987273053237632,0.5181150503466345,15.0,9.0,15.0,13.0,10.0,4.0,12.0,1.4884281472668976,10.0,RegNetY_400MF
1,35.33,38.77,1.57,1,1.0,0.0,0.1616052019536766,0.5007509986118479,0.3686823670099003,0.8424981087173717,0.5050662186179802,1.0,21.0,17.0,14.0,15.0,21.0,14.0,1.211180475727272,16.0,RegNetY_400MF
17,38.45,38.05,1.56,17,0.35941511388911085,0.9999999999999996,0.0,0.5724298667697125,0.5080458476418975,0.9982101684768343,0.57703731513239,16.0,1.0,23.0,11.0,7.0,7.0,11.0,1.5062560161187317,7.0,RegNetY_400MF
4,54.89,38.02,1.92,4,0.5486825839215284,0.9807747046505173,0.11370006397661006,0.0,0.0,0.9975348877716581,0.0,10.0,14.0,19.0,23.0,23.0,16.0,23.0,0.9975348877716581,21.0,RegNetY_400MF
5,55.92,37.66,1.92,5,0.13903847887475784,0.9355915810013005,0.2261483936046182,0.6383698543204726,0.4870774790739877,0.0,0.6630726985462514,20.0,20.0,16.0,8.0,11.0,23.0,7.0,0.4870774790739877,23.0,RegNetY_400MF
22,49.0,37.48,1.74,22,0.7145950081399253,0.9355915810013005,0.3000344914307958,0.6560199751644058,0.3802056726354487,0.22209107955548646,0.8284328223769488,6.0,20.0,12.0,7.0,14.0,22.0,3.0,0.6022967521909351,22.0,RegNetY_400MF
6,57.43,36.73,1.73,6,0.48956824588161396,0.9793104374022996,0.09119120269379197,0.20701095396502645,0.18538305137339228,1.0,0.19942352356478055,13.0,15.0,20.0,19.0,20.0,1.0,19.0,1.1853830513733923,18.0,RegNetY_400MF
