,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
8,37.62,38.2,1.66,8,0.5078269178413026,0.6029288261369175,0.7355023404840817,0.3189098046476573,0.2893371775087649,0.9877236631782779,0.3207147184099335,12.0,12.0,4.0,13.0,15.0,15.0,13.0,1.2770608406870427,14.0,RegNetY_400MF
18,32.81,36.17,1.71,18,0.6402473604627787,0.33380307489426286,0.604398034640246,0.6576036480689225,0.5791471437966762,0.9963734129490891,0.6353110255591083,8.0,20.0,9.0,2.0,2.0,2.0,2.0,1.5755205567457653,2.0,RegNetY_400MF
9,33.76,34.98,1.73,9,0.886624771591527,0.4805695788228377,0.4336488343994952,0.5935781960204154,0.5274935252647781,0.9894863555162718,0.5748841777353915,3.0,16.0,17.0,3.0,3.0,13.0,3.0,1.51697988078105,3.0,RegNetY_400MF
21,27.13,31.45,1.82,21,0.5327264413607375,0.520648105774626,0.6068045024370428,0.5412032146195498,0.48037446577934545,0.9919465382920731,0.5309315361724758,11.0,15.0,8.0,4.0,4.0,6.0,4.0,1.4723210040714185,4.0,RegNetY_400MF
11,19.45,23.27,1.94,11,0.0009167046279858759,0.35997615089900137,0.37157605983885156,0.05186277415758944,0.06987683047877885,0.9912414653614031,0.054559562553502916,22.0,18.0,18.0,21.0,20.0,8.0,21.0,1.061118295840182,19.0,RegNetY_400MF
22,17.47,19.97,2.05,22,0.0,0.6839285324871298,0.5742106572976945,0.0,0.0,0.994593988415949,0.0,23.0,10.0,12.0,23.0,23.0,5.0,23.0,0.994593988415949,22.0,RegNetY_400MF
14,17.5,19.94,2.03,14,0.0843947014342703,0.3337602852727741,0.7279714350206734,0.002977493619170657,0.04638805461239276,0.9902993890168783,0.007027640923013667,21.0,21.0,5.0,22.0,22.0,11.0,22.0,1.036687443629271,20.0,RegNetY_400MF
12,17.59,19.86,2.02,12,0.30727002039810936,0.4553811148902014,0.4633176224686892,1.0,1.0,0.9911880765038562,0.9999999999999998,16.0,17.0,14.0,1.0,1.0,10.0,1.0,1.9911880765038563,1.0,RegNetY_400MF
19,21.89,17.81,2.1,19,0.9737067798421788,0.7717892859867561,0.4501013734588879,0.44867840285276483,0.3876267114371596,0.9999999999999999,0.4427177728755489,2.0,9.0,16.0,8.0,7.0,1.0,8.0,1.3876267114371594,7.0,RegNetY_400MF
10,29.88,16.25,2.2,10,0.7746612896691603,0.8342291453215012,0.5840762301553986,0.2645775731930913,0.1921318845143853,0.9816880184947014,0.2483037856603172,6.0,5.0,11.0,16.0,18.0,20.0,17.0,1.1738199030090868,17.0,RegNetY_400MF
0,26.76,15.6,2.19,0,0.6494935154828556,0.8441793159958024,0.18285352503927588,0.1011850946876156,0.10994743502531984,0.9873332172487457,0.10821169665042096,7.0,3.0,22.0,19.0,19.0,17.0,19.0,1.0972806522740655,18.0,RegNetY_400MF
17,20.52,15.52,2.18,17,1.0,0.7727589298414159,0.63821107716244,0.27489171699502535,0.27941101308973376,0.9833484696423093,0.2723777526451654,1.0,8.0,7.0,15.0,16.0,19.0,15.0,1.262759482732043,15.0,RegNetY_400MF
15,20.77,14.74,2.19,15,0.8141363597274647,0.8363351706042295,0.3281338677820635,0.4582633608429758,0.3615573745938652,0.9946776799690088,0.4651935964294416,5.0,4.0,20.0,7.0,10.0,4.0,7.0,1.356235054562874,10.0,RegNetY_400MF
16,25.04,14.71,2.21,16,0.5778332920843541,0.802483856482695,0.6576627298144504,0.38363687815986935,0.3383291258776347,0.9804364271705643,0.39534321974045583,10.0,6.0,6.0,11.0,12.0,21.0,9.0,1.318765553048199,11.0,RegNetY_400MF
7,25.65,13.11,2.27,7,0.09769792457648663,0.7955567183018957,0.0,0.286913399618941,0.3010175669608552,0.9880992119458194,0.2890343546801486,20.0,7.0,23.0,14.0,13.0,14.0,14.0,1.2891167789066746,12.0,RegNetY_400MF
2,41.05,12.99,2.56,2,0.6285886611397506,0.9415252657058772,1.0,0.4032539894180105,0.37397387990880565,0.9914375256246284,0.3912622564935835,9.0,2.0,1.0,9.0,9.0,7.0,10.0,1.365411405533434,9.0,RegNetY_400MF
3,52.78,12.52,2.74,3,0.09962371077388488,1.0,0.8563501543337009,0.07328018189568186,0.05292496613635922,0.9769275004990872,0.0581088857267722,19.0,1.0,2.0,20.0,21.0,22.0,20.0,1.0298524666354463,21.0,RegNetY_400MF
6,19.52,12.11,2.24,6,0.8476327449939043,0.6310201761322105,0.4624606184825863,0.3940759682498607,0.29834029716805827,0.9899385093637546,0.3845079248309473,4.0,11.0,15.0,10.0,14.0,12.0,11.0,1.288278806531813,13.0,RegNetY_400MF
1,10.93,11.85,2.2,1,0.23029332637139266,0.29454806848752924,0.3213402656040279,0.253910170509974,0.2187441862490908,0.9956258500681383,0.2600592122664003,17.0,22.0,21.0,17.0,17.0,3.0,16.0,1.2143700363172292,16.0,RegNetY_400MF
5,11.16,11.83,2.24,5,0.4746716978653569,0.6009235545388947,0.6002386387508724,0.21302952223277738,0.34710740642866517,0.0,0.24085134460003288,13.0,13.0,10.0,18.0,11.0,23.0,18.0,0.34710740642866517,23.0,RegNetY_400MF
13,10.83,11.8,2.2,13,0.20154718768997215,0.0,0.7874818479971483,0.47573625597631786,0.4526233021847393,0.99122840382263,0.4731754023561665,18.0,23.0,3.0,6.0,5.0,9.0,6.0,1.4438517060073692,5.0,RegNetY_400MF
20,11.27,11.64,2.2,20,0.3270272938811223,0.5728719066094072,0.5576978740924524,0.3673385506720215,0.38229501575384833,0.9858615141431071,0.3613055517898771,15.0,14.0,13.0,12.0,8.0,18.0,12.0,1.3681565298969554,8.0,RegNetY_400MF
