,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
11,87.15,92.47,0.31,11,0.7769405324938248,0.6661688576965616,0.3070744849776472,0.2859971443787792,0.39600389429573,0.20122044404027406,0.27566636908557607,3.0,5.0,20.0,14.0,12.0,21.0,15.0,0.5972243383360041,22.0,RegNetY_400MF
12,91.27,92.17,0.32,12,0.7099815626342094,0.6650716617713783,0.16800022001655962,0.5693920643727561,0.6762355483781475,0.8109433882927988,0.5511055249397567,4.0,6.0,21.0,7.0,7.0,4.0,8.0,1.4871789366709462,4.0,RegNetY_400MF
2,84.23,92.04,0.33,2,0.24983674788777144,0.38363040842905605,0.8216279658255283,0.5289944569075975,0.19324415042188203,0.9920905333542862,0.7228884607897759,15.0,16.0,6.0,8.0,19.0,2.0,4.0,1.1853346837761682,10.0,RegNetY_400MF
1,81.73,91.92,0.32,1,0.0676158496293171,0.3702942335423458,0.8851417992898933,0.22191147339860517,0.11090171612741917,0.5092927043359907,0.2681411474100379,22.0,17.0,2.0,17.0,21.0,15.0,16.0,0.6201944204634099,19.0,RegNetY_400MF
5,73.51,90.89,0.35,5,0.4682007078909063,0.3622846619939821,0.3587532097911671,0.11863951971193032,0.05468822514988925,0.6096721964045173,0.20511582169299025,9.0,18.0,18.0,21.0,22.0,13.0,18.0,0.6643604215544066,18.0,RegNetY_400MF
4,73.59,90.83,0.35,4,0.8901014547309067,0.4644294324093039,0.8627334199776572,0.0,0.0,1.0,0.0,2.0,12.0,4.0,23.0,23.0,1.0,23.0,1.0,14.0,RegNetY_400MF
22,81.31,90.12,0.36,22,0.2571601307639284,0.4406649134986296,0.519330457881809,0.4223369457273778,0.2876194276378544,0.7526376395546777,0.48575369682975467,13.0,14.0,14.0,11.0,16.0,7.0,10.0,1.040257067192532,13.0,RegNetY_400MF
14,82.23,89.49,0.4,14,0.2558018696962723,0.6966989418178997,0.6034478069864783,0.16318873406456147,0.3089398404948529,0.7382843628049613,0.13552514112727287,14.0,3.0,10.0,20.0,15.0,8.0,20.0,1.0472242032998142,12.0,RegNetY_400MF
9,85.65,89.24,0.4,9,0.6609612971684875,0.33509190699612645,0.6907179899336278,1.0,0.9772342965179104,0.3526905374390594,1.0,5.0,20.0,9.0,1.0,2.0,18.0,1.0,1.3299248339569698,6.0,RegNetY_400MF
8,91.43,88.8,0.4,8,0.4759954903627408,0.3585515035635467,0.5969490909029451,0.7882630686854828,0.9484714803632621,0.27779039346819445,0.7919525570718022,8.0,19.0,11.0,3.0,3.0,19.0,3.0,1.2262618738314566,9.0,RegNetY_400MF
6,96.04,87.91,0.46,6,0.0,0.464703321909262,0.06649908328994203,0.1693760110240805,0.27515305746740626,0.0,0.19509444284093735,23.0,11.0,22.0,19.0,17.0,23.0,19.0,0.27515305746740626,23.0,RegNetY_400MF
