,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
17,79.54,82.47,0.54,17,1.0,1.0,0.04081041781507028,0.6826809453556708,0.6845736532741857,0.9999363205948798,0.6331387459998983,1.0,1.0,22.0,4.0,3.0,2.0,4.0,1.6845099738690656,3.0,RegNetY_400MF
5,69.19,81.62,0.66,5,0.5698513400673368,0.0,0.3623800114296075,0.28973232552576555,0.1845501320245888,0.9982053566574716,0.25970406156198966,6.0,22.0,13.0,19.0,20.0,10.0,19.0,1.1827554886820604,19.0,RegNetY_400MF
16,87.84,81.47,0.58,16,0.6727949759862417,0.764066019184213,0.43672911240533846,0.0,0.0,0.9988048702698721,0.0,4.0,2.0,10.0,23.0,23.0,8.0,23.0,0.9988048702698721,22.0,RegNetY_400MF
4,67.6,81.0,0.67,4,0.3466443240931163,0.11238874196442339,0.6152248154011899,0.23049673063069176,0.18472024436911472,0.9994973660441935,0.22063927853011056,13.0,21.0,2.0,20.0,19.0,3.0,20.0,1.1842176104133082,18.0,RegNetY_400MF
19,93.28,80.74,0.63,19,0.17235543138232812,0.3954346085041891,0.46707646811066755,0.4899061392172175,0.4177106304750571,1.0,0.45622901099373725,21.0,9.0,9.0,10.0,11.0,1.0,11.0,1.417710630475057,11.0,RegNetY_400MF
15,96.24,80.58,0.66,15,0.20085547093118628,0.4911776692047738,0.4112960949615767,0.6089439718304182,0.6533825316383959,0.9968452182962085,0.6078146715918507,19.0,5.0,12.0,8.0,6.0,20.0,7.0,1.6502277499346043,6.0,RegNetY_400MF
2,73.63,80.15,0.62,2,0.34732327071222935,0.36906590505984127,0.5059800067353848,0.13049341923209368,0.17356783833974798,0.8567541702296249,0.09433726768241901,12.0,11.0,7.0,22.0,21.0,22.0,22.0,1.0303220085693727,21.0,RegNetY_400MF
1,69.62,80.03,0.65,1,0.674506396247124,0.20945669755892027,0.3159678336259474,0.9999999999999998,1.0,0.9989467276611825,0.9999999999999998,3.0,18.0,17.0,1.0,1.0,6.0,1.0,1.9989467276611825,1.0,RegNetY_400MF
6,96.39,79.5,0.75,6,0.0,0.4429047124939416,0.5744801991910189,0.4040054492190077,0.3548757420537534,0.9963414845675959,0.3637784995537634,23.0,6.0,3.0,12.0,14.0,21.0,13.0,1.3512172266213494,13.0,RegNetY_400MF
10,98.47,79.22,0.75,10,0.7471321084683704,0.2323572628684758,1.0,0.7549935543510504,0.6817506403058282,0.9972363274975358,0.7256711956347901,2.0,16.0,1.0,3.0,4.0,18.0,3.0,1.678986967803364,4.0,RegNetY_400MF
22,74.97,78.78,0.73,22,0.22095361222240317,0.31066407159494247,0.49585431142238623,0.6267611488191156,0.5710715855340982,0.9978723639516928,0.6181089399606725,17.0,12.0,8.0,7.0,8.0,13.0,5.0,1.5689439494857909,8.0,RegNetY_400MF
7,98.78,78.2,0.81,7,0.14110795625156847,0.2926734057099054,0.22334868154205365,0.3980254801701639,0.32043850276689545,0.9979812762580884,0.39521989992923623,22.0,13.0,20.0,13.0,16.0,12.0,12.0,1.3184197790249839,15.0,RegNetY_400MF
3,86.05,78.09,0.8,3,0.35847546820027576,0.36906590505984127,0.5604590301210877,0.36693769962465406,0.3606128896818206,0.0,0.3610083896817218,10.0,11.0,5.0,16.0,12.0,23.0,15.0,0.3606128896818206,23.0,RegNetY_400MF
21,80.63,76.88,0.69,21,0.36638186298250863,0.546697397997832,0.3313565043967845,0.3343688207970652,0.3137305942745574,0.9988513044699872,0.3331239508474273,9.0,4.0,16.0,18.0,17.0,7.0,18.0,1.3125818987445446,16.0,RegNetY_400MF
18,82.12,76.88,0.69,18,0.18824950195106993,0.6864239169284474,0.35921801935144587,0.3443910117989992,0.2993245697231883,0.9970463357443189,0.33629898784551693,20.0,3.0,14.0,17.0,18.0,19.0,17.0,1.2963709054675072,17.0,RegNetY_400MF
0,99.14,76.75,0.89,0,0.5535744737158712,0.2869021779549712,0.5697742315066183,0.38324575880467315,0.3467215545212379,0.9981288030674731,0.36075195852021813,7.0,14.0,4.0,14.0,15.0,11.0,16.0,1.344850357588711,14.0,RegNetY_400MF
9,90.09,76.12,0.75,9,0.34975232040820536,0.3884243590173071,0.5563242991041758,0.17322597609262824,0.15189430328299236,0.9977838316780279,0.1558453578541774,11.0,10.0,6.0,21.0,22.0,16.0,21.0,1.1496781349610203,20.0,RegNetY_400MF
8,92.85,75.21,0.8,8,0.5450496349915754,0.4277902057059748,0.4235408316018075,0.37201919129162353,0.35605115631018647,0.9985943854457501,0.36328986480333936,8.0,7.0,11.0,15.0,13.0,9.0,14.0,1.3546455417559367,12.0,RegNetY_400MF
11,68.95,70.31,0.83,11,0.20184294251743573,0.244810115952248,0.1594759822642366,0.57295508979332,0.48704034709215316,0.9978127534295778,0.5303632053405194,18.0,15.0,21.0,9.0,9.0,14.0,9.0,1.484853100521731,9.0,RegNetY_400MF
12,70.26,70.2,0.84,12,0.30381712587989096,0.22510944330824145,0.22513788529464232,0.46689377149080324,0.4361985178649448,0.9977996715438004,0.46121553542731264,14.0,17.0,19.0,11.0,10.0,15.0,10.0,1.4339981894087452,10.0,RegNetY_400MF
20,61.52,68.78,0.88,20,0.2953306533161726,0.4094720820557711,0.3350890301338356,0.6335071393059077,0.6690888923584275,0.9990116937240364,0.6013646928862537,15.0,8.0,15.0,5.0,5.0,5.0,8.0,1.6681005860824638,5.0,RegNetY_400MF
14,62.01,66.46,0.94,14,0.6341616153255689,0.1536769686917978,0.0,0.7938290813508744,0.7843475529473516,0.9974771919195798,0.7675427021175036,5.0,19.0,23.0,2.0,2.0,17.0,2.0,1.7818247448669315,2.0,RegNetY_400MF
13,62.57,65.55,0.97,13,0.23923005066220338,0.1299541495604899,0.2748583278323692,0.6315821283586092,0.5912508730180337,0.9994854269349516,0.6114354687034889,16.0,20.0,18.0,6.0,7.0,4.0,6.0,1.5907362999529853,7.0,RegNetY_400MF
