,train_acc,test_acc,test_loss,aug,epe_nas,nwot,plain,snip,fisher,jacob_cov,grad_norm,rank_epe_nas,rank_nwot,rank_plain,rank_snip,rank_fisher,rank_jacob_cov,rank_grad_norm,fisher_jacob,rank_fisher_jacob,model
12,90.35,87.37,0.49,12,0.3411218482526035,0.5365276079349002,0.4242579765119617,0.3848458212290944,0.48100929022615324,0.3831388571190786,0.34288605606827716,14.0,7.0,8.0,14.0,13.0,21.0,14.0,0.8641481473452318,16.0,RegNetY_400MF
11,85.11,86.27,0.51,11,0.5776940653378808,0.5387234328402286,0.37581029128032295,0.7181939105912001,0.7152666593581968,0.4623943488114435,0.677943517163337,6.0,5.0,10.0,7.0,6.0,17.0,6.0,1.1776610081696401,9.0,RegNetY_400MF
1,77.75,84.51,0.57,1,0.5382777138583961,0.3341564809464046,0.31628807866689523,0.10659391338069613,0.0,0.9318671735394446,0.15492933536568376,7.0,13.0,11.0,20.0,23.0,3.0,20.0,0.9318671735394446,14.0,RegNetY_400MF
2,81.37,84.39,0.58,2,0.5028771101671832,0.16371045564575581,0.0435608447701924,0.13714071217648272,0.02612552954573355,0.8349881617735235,0.15851746246007092,9.0,20.0,22.0,19.0,21.0,7.0,19.0,0.8611136913192571,17.0,RegNetY_400MF
5,69.21,82.67,0.64,5,0.0,0.0,0.4381025534576197,0.09273466709641065,0.02124605977819094,0.40467403798562884,0.1466728682013776,23.0,23.0,6.0,21.0,22.0,19.0,21.0,0.4259200977638198,23.0,RegNetY_400MF
22,77.39,82.58,0.63,22,0.4219659817538053,0.2000005630588788,0.10466509335647764,0.6277887757357523,0.3629331401149184,0.5125073593146965,0.6042787219108816,12.0,18.0,20.0,8.0,16.0,14.0,8.0,0.8754404994296149,15.0,RegNetY_400MF
4,69.89,82.56,0.64,4,0.0949552279866952,0.23804618654421006,0.159394657913373,1.0,0.6829596389450004,0.5803447976085181,1.0,20.0,16.0,17.0,1.0,8.0,13.0,1.0,1.2633044365535184,8.0,RegNetY_400MF
8,89.07,82.17,0.65,8,0.31856679063708526,0.21909125606781288,0.3981038676988358,0.3766868490734172,0.3974247060280486,0.586588904578818,0.2947516984705967,15.0,17.0,9.0,15.0,14.0,12.0,16.0,0.9840136106068665,12.0,RegNetY_400MF
9,84.53,81.94,0.65,9,0.06401133377091806,0.27727776835462237,0.47692363436543317,0.36371872543083317,0.39674651081265633,0.40243632991096945,0.30954943659562684,22.0,14.0,5.0,16.0,15.0,20.0,15.0,0.7991828407236258,19.0,RegNetY_400MF
6,95.22,80.94,0.75,6,0.3662053621568053,0.3786197352763736,0.5303377609373497,0.23028986197150036,0.2896658471585717,0.4179085282450927,0.21789648324111077,13.0,12.0,3.0,18.0,18.0,18.0,17.0,0.7075743754036644,21.0,RegNetY_400MF
14,78.15,80.57,0.7,14,0.4491360057410827,0.5375532260692637,1.0,0.9906503376047993,0.9999999999999999,0.6310517608423112,0.9813303471595538,11.0,6.0,1.0,2.0,1.0,11.0,2.0,1.6310517608423112,4.0,RegNetY_400MF
3,88.73,80.49,0.75,3,0.513524233503369,0.1707449848165794,0.4264235928249548,0.014928350889470199,0.054989159004174226,0.6971016552459446,0.08768531929899037,8.0,19.0,7.0,22.0,20.0,10.0,22.0,0.7520908142501188,20.0,RegNetY_400MF
10,93.84,77.99,0.84,10,0.16527547353442507,0.1539993381962006,0.19468329432181664,0.4849544599642157,0.6017275943720991,0.20607392493522525,0.44515913761593096,18.0,21.0,16.0,11.0,10.0,22.0,11.0,0.8078015193073244,18.0,RegNetY_400MF
